document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor	satPx	satN	topPx	topShare	topRun	edgeN	edgeShare	sheetFrac
1881 - Harry Wilcox	p4	125	0.145	0.140	0.062	0.1982	0.00796	0.00915	2010750	2	picture	333751	89872	1033	893	1033	1149	1149	0.08178	0.25000	13574	167	10310	0.75954	2	27	0.81472	0.01515
1881 - Harry Wilcox	p7	126	0.133	0.103	0.068	0.0841	0.48119	0.03969	1775610	2	picture	143119	56606	1004	1086	1086	1086	1086	0.09028	0.25000	14836	133	11899	0.80204	2	33	0.96960	0.00274
1954 - Why	p4	139	0.102	0.144	0.039	0.0017	0.00000	0.00000	887616	1	picture	1475	30591	8	187	187	14	189	0.01360	0.25000	2035	226	124	0.06093	5	3	0.02555	0.01326
1954 - Why	p7	139	0.104	0.148	0.041	0.0032	0.00029	0.00021	887616	1	picture	2855	28324	257	188	257	392	392	0.02831	0.25000	4235	303	294	0.06942	3	1	0.01677	0.02783
1976 - Regis McKenna Papers - Early Career, 1965-1981	p4	129	0.144	0.063	0.063	0.1958	0.04492	0.02053	1991115	2	picture	197072	38377	835	247	835	1498	1498	0.07025	0.25000	225540	2103	178219	0.79019	4	43	0.96112	0.00273
1976 - Regis McKenna Papers - Early Career, 1965-1981	p7	131	0.181	0.234	0.105	0.1488	0.02922	0.01401	1957062	2	picture	589368	77786	1486	1042	1486	1486	1486	0.15669	0.25000	494380	4561	151871	0.30719	89	7	0.49031	0.07987
2013 - Silicon Valley Program Transcript	p13	166	0.090	0.018	0.050	0.0033	0.00000	0.00000	3256058	1	1-bit	92743	53704	82	115	115	116	116	0.04517	0.25000	6757	2	6756	0.99985	3	0	0.00000	0.04517
2013 - Silicon Valley Program Transcript	p26	166	0.097	0.020	0.050	0.0033	0.00000	0.00000	3256058	1	1-bit	92743	60868	82	115	115	116	116	0.04512	0.25000	6750	2	6749	0.99985	3	0	0.00000	0.04512
2024 - Class Action lawsuit re need blind admissions	p26	156	0.042	0.017	0.003	0.0001	0.00000	0.00000	1612948	1	1-bit	546	31320	2	22	22	19	23	0.00429	0.25000	642	29	86	0.13396	3	0	0.00000	0.00429
2024 - Class Action lawsuit re need blind admissions	p51	155	0.048	0.019	0.003	0.0000	0.00000	0.00000	1612948	1	1-bit	716	35283	2	22	22	19	24	0.00430	0.25000	643	28	86	0.13375	3	0	0.00000	0.00430
AI 2027	p24	149	0.079	0.021	0.013	0.0000	0.00000	0.00000	1803480	1	1-bit	80	51317	5	42	42	16	46	0.01298	0.25000	2000	199	135	0.06750	27	0	0.00000	0.01298
AI 2027	p48	137	0.047	0.008	0.001	0.0000	0.00000	0.00000	1665475	2	1-bit	0	22448	0	26	26	18	26	0.00005	0.25000	7	7	1	0.14286	1	0	0.00000	0.00005
