# C27 sheetFrac route, 2026-09-25. Every testdocs page at mean sat <= 0.06 and sheetFrac > 0.01 (production order: renderGrey, then thumbnail), picture = isPicture. Only picture=true pages change output. greyKB/colourKB: the page's picture JPEG at rebuildDPI, q 0.6, both encoders flatten uses (not the published MRC size).
doc	page	sat	sheet	picture	greyKB	colourKB	deltaKB
1954 - Why.pdf	p4	0.0392	0.01326	true	269.7	283.5	+13.8
1954 - Why.pdf	p5	0.0369	0.01907	false	-	-	-
1954 - Why.pdf	p6	0.0428	0.02203	true	237.6	252.2	+14.6
1954 - Why.pdf	p7	0.0412	0.02783	true	254.1	268.6	+14.5
1954 - Why.pdf	p8	0.0424	0.02613	false	-	-	-
1954 - Why.pdf	p9	0.0412	0.02595	false	-	-	-
JAH Review.pdf	p1	0.0160	0.01865	false	-	-	-
Westad_2005_The Global Cold War_Cambridge University Press.pdf	p1	0.0160	0.01867	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p1	0.0507	0.04662	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p2	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p3	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p4	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p5	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p6	0.0499	0.04518	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p7	0.0499	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p8	0.0498	0.04516	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p9	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p10	0.0498	0.04515	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p11	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p12	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p13	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p14	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p15	0.0498	0.04516	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p16	0.0498	0.04516	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p17	0.0498	0.04517	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p18	0.0498	0.04514	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p19	0.0498	0.04515	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p20	0.0498	0.04511	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p21	0.0498	0.04513	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p22	0.0498	0.04513	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p23	0.0498	0.04513	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p24	0.0498	0.04513	false	-	-	-
2013 - Silicon Valley Program Transcript.pdf	p25	0.0498	0.04512	false	-	-	-
