# C28's two-sided grouping trade: the shape term's `lineMinimumMembers` and `lineGapFactor`
# relaxed, measured beside the shipped pair on the entry's own named population. 2026-09-20.
# binary built from Tools/score-shape-term.swift in this commit; --self-test ok (11 checks).
# GROUPING=4:3,3:3,2:3,4:6,2:6 — five arms; 4:3 IS the shipped pair and is the determinism
# control (lineN_g4x3 must equal lineN on every row; it does, 75 of 75).
# population = the 73 sub-bar pages of SHAPETERM-73-2026-08-21.tsv (document+page taken from
# that file, nothing re-sampled) PLUS book/1954 - Why.pdf p6 and p7, C26's two founding
# cartoons, which are picture-route and so are NOT among the 73.
# label/kind below are SHAPETERM-73's own published verdicts, joined by (document, page);
# nothing here re-reads a page. The two cartoons carry `cartoon`/`cartoon`.
# ⛔ The port check ran ARMED on every row of every arm — the two constants are DEFAULT
# ARGUMENTS of `lines(…)`, so the call the port check compares is unchanged: port agreed on
# 75 of 75, 0 disagreements, rc=0 on 23 of 23 invocations.
# ⚠️ Columns 2-43 are the tool's own 42 and are a byte-identical prefix of every earlier
# SHAPETERM-*.tsv; 44-53 are the five arms; document/label/kind are prepended/appended here.
document	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	rim1N	rim1Px	rim1Top	rim2N	rim2Px	rim2Top	rim3N	rim3Px	rim3Top	verdict	wideN	wideInkOut	stenPx	wideStenPx	shipSten	wideSten	shipBytes	wideBytes	byteDelta	shipBg	wideBg	lineN_g4x3	linePx_g4x3	lineN_g3x3	linePx_g3x3	lineN_g2x3	linePx_g2x3	lineN_g4x6	linePx_g4x6	lineN_g2x6	linePx_g2x6	label	kind
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p1	1192	1746	175	84258	97	0.0012	0.0012	0.1377	0.0034	2049	12	2	16	1	22	0.2268	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p2	969	1419	182	63630	30	0.0005	0.0005	0.1542	0.0035	1855	10	2	9	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p3	992	1441	179	66227	687	0.0104	0.0104	0.1482	0.0120	1887	10	2	13	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p4	993	1438	169	59272	5	0.0001	0.0001	0.1068	0.0009	1795	10	2	2	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
thesis/Doermann_1967_The market for college education in the United States.pdf	p21	2658	3200	176	1200389	19778	0.0165	0.0165	0.1342	0.0159	1291	33	8	42	4	19672	0.9946	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	1	451	0	0	1	451	loses	hand
journalArticle/Scott_TK_The Scientific Selection of Salesmen.pdf	p3	1020	1257	149	180990	7462	0.0412	0.0412	0.0412	0.0297	3821	8	3	334	114	5319	0.7128	6	1796	0.2407	241x5+364+150	2	278	56x6+283+487	1	115	55x4+284+488	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	6	1796	6	1796	20	2595	6	1796	20	2595	loses	type
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p2	1240	1647	160	185073	155	0.0008	0.0008	0.0008	0.0006	5166	10	2	7	5	147	0.9484	1	147	0.9484	43x9+639+829	1	133	42x8+640+830	1	119	42x7+640+831	1	100	42x6+640+832	ok	-	-	-	-	-	-	-	-	-	-	-	1	147	1	147	1	147	1	147	1	147	loses	type
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p3	1240	1647	161	179495	0	0.0000	0.0000	0.0000	0.0000	5028	10	2	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p5	1240	1647	162	166685	5892	0.0353	0.0353	0.0353	0.0321	4757	10	2	142	117	3954	0.6711	4	3898	0.6616	488x18+107+1188	4	3695	488x17+107+1189	4	3508	488x16+107+1190	3	3274	488x15+107+1191	ok	-	-	-	-	-	-	-	-	-	-	-	4	3898	4	3898	4	3898	4	3898	4	3898	loses	type
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p7	1240	1647	162	162460	2225	0.0137	0.0137	0.0137	0.0134	4919	10	2	135	91	1995	0.8966	3	1897	0.8526	401x20+155+759	3	1852	401x20+155+759	3	1790	401x20+155+759	2	1669	401x20+155+759	ok	-	-	-	-	-	-	-	-	-	-	-	3	1897	4	1939	5	1995	3	1939	4	1995	loses	type
