doc	pages	embeddedText	hasDigitalText	digitalPages	first3
1954 - Why.pdf	10	yes	no	1	p1
Berle_1940_New directions in the new world,_Harper.pdf	31	yes	no	0	
Boltanski_2006_On justification_Princeton University Press.pdf	203	yes	no	1	p203
Casey_1954_1954 pay almanac,.pdf	10	yes	no	0	
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	8	yes	no	1	p1
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	436	yes	no	0	
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	30	yes	no	0	
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	226	yes	no	0	
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	6	no	no	0	
Guilford_Psychometric Methods.pdf	6	yes	no	0	
Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	574	yes	no	0	
Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	255	yes	no	0	
Ibson_2006_Picturing men.pdf	263	yes	no	0	
JAH Review.pdf	3	yes	no	1	p1
Keyssar_2000_The Right to Vote_Basic Books.pdf	3	yes	no	1	p1
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	81	yes	no	0	
Mintzberg - 1973 - The nature of managerial work.pdf	119	yes	no	0	
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	12	yes	no	0	
Morgan_1975_American Slavery, American Freedom_Norton.pdf	3	yes	no	1	p1
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	yes	no	19	p67;p68;p91
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	7	yes	no	0	
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	146	yes	no	0	
Noble_1977_America by design.pdf	414	yes	no	0	
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	25	yes	no	0	
Schumpeter_1955_Imperialism ; Social classes_World.pdf	191	yes	no	0	
Shows and Burton - 1972 - Microeconomics.pdf	18	yes	no	0	
UN-OCred.pdf	40	yes	no	0	
Westad_2005_The Global Cold War_Cambridge University Press.pdf	3	yes	no	1	p1
_2010_New Materialisms_Duke University Press.pdf	22	yes	no	0	
Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf	29	yes	no	0	
Berger_2013_Toward a Third Industrial Divide_.pdf	24	yes	no	0	
Broadhead - 1994 - Regionalism and the Upper Class.pdf	13	yes	no	0	
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	25	yes	no	0	
Canby_1929_Comment on Several Subjects.pdf	4	yes	yes	3	p2;p3;p4
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	29	yes	no	1	p5
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	62	yes	no	22	p1;p4;p7
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	26	yes	no	0	
Gilroy - 2000 - Getting In.pdf	22	yes	no	0	
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	6	yes	no	0	
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	324	yes	no	0	
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	15	yes	no	0	
Kazin_1955_The Writer and the .pdf	16	yes	no	3	p1;p4;p6
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	40	yes	no	0	
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	29	yes	no	0	
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	23	yes	no	0	
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	10	yes	no	0	
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	23	yes	no	0	
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	31	yes	no	0	
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	25	yes	no	0	
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	65	yes	no	0	
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	37	yes	no	0	
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	15	yes	no	0	
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	40	yes	no	6	p10;p11;p18
Schaar, handwritten notes.pdf	11	yes	no	0	
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	56	yes	no	0	
_1945_Postwar Economic Policy and Planning_.pdf	150	yes	no	0	
full chapter.pdf	32	yes	no	23	p2;p3;p4
(F) Dickens.pdf	8	no	no	0	
1881 - Harry Wilcox.pdf	9	no	no	0	
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	9	no	no	0	
2008_Hoagland oral history.pdf	15	yes	no	0	
2008_McIntyre oral history.pdf	18	yes	no	0	
2013 - Silicon Valley Program Transcript.pdf	38	yes	no	0	
2015_Gibbs oral history.pdf	71	yes	no	0	
2017_Bunnell oral history, athletics.pdf	69	yes	no	0	
2024 - Class Action lawsuit re need blind admissions.pdf	75	yes	no	0	
Atkinson_1939_Atkinson on firings_.pdf	3	no	no	0	
Ford_1941_Speech_.pdf	6	no	no	0	
Freud_Fetishism.pdf	7	yes	no	0	
Galison_1998_Trading Zone_.pdf	14	yes	no	0	
Geiger oral history.pdf	99	yes	no	0	
Henry Morgenthau papers.pdf	201	yes	no	2	p188;p189
Herbert Marks papers.pdf	15	no	no	0	
Intellectual History Newsletter -- Forum on Menand.pdf	45	yes	no	6	p1;p3;p13
Lyons oral history.pdf	114	yes	no	0	
Nogales oral history.pdf	46	yes	no	0	
October_2,_1960_(Page_24_of_25.pdf	1	yes	no	0	
RIESMAN_1942_American Law Institute Proceedings_.pdf	10	yes	no	0	
Riesman_1964_From inner-directed to other- directed_.pdf	18	yes	no	0	
Riesman_1964_The New Education_.pdf	12	yes	no	0	
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	30	yes	no	1	p27
Senate, Democratic Leadership.pdf	27	yes	no	0	
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	4	yes	no	0	
Stiglitz1975(onPasinetti1974).pdf	3	yes	no	1	p1
_1939_Former students to Board re Merriam_.pdf	18	no	no	0	
_1953_99 Cong_ 2.pdf	31	yes	no	0	
_1953_99 Cong_.pdf	32	yes	no	0	
_1953_Conspicuous Production_.pdf	3	yes	no	0	
_1960_Organization and operation of the Small Business Administration_.pdf	73	yes	no	0	
_1973_Committee Against Racism_.pdf	4	yes	no	0	
_1979_Ideology of American Neo-Conservatism_.pdf	16	no	no	0	
ppf_description.pdf	5	yes	no	0	
w5093.pdf	64	yes	no	0	
1935_Title Page.pdf	3	yes	no	1	p1
1944_Options picking up.pdf	3	yes	no	0	
Albanese_1997_Senate Will Examine Stock Option Bill.pdf	3	yes	no	0	
Baker_2000_The Supply-Side Effect of a Stock Market Crash.pdf	12	yes	no	1	p1
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	yes	yes	51	p1;p2;p3
Borges_The Lottery in Babylon.pdf	5	yes	no	0	
Burke - The Expansion of American Higher Education.pdf	24	yes	no	1	p1
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review.pdf	19	yes	no	1	p1
Crystal_2000_Option grants leave CEOs with sinking feeling.pdf	1	no	no	0	
Donahue - 2001 - Time to Get Serious About Talent Management.pdf	3	yes	no	1	p3
Eyal-Cohen - Why Is Small Business the Chief Business of Congress.pdf	59	yes	no	0	
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors.pdf	57	yes	no	1	p1
Har - THE NECKLACE OF KALI..pdf	1	yes	no	0	
Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	15	yes	no	0	
Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_.pdf	13	yes	no	0	
Lemieux et al. - Performance Pay and Wage Inequality.pdf	50	yes	no	1	p1
