doc	pages	digitalN	page	rawAnnots	surfacedN	nilN	subtypes	clause	pageMark	docMark	outlineN	allPass	splice
1954 - Why.pdf	10	1	1	2	2	0	Link,Link	none	no	no	0	no	yes
Boltanski_2006_On justification_Princeton University Press.pdf	203	1	203	0	0	0	-	none	no	no	0	no	yes
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	8	1	1	4	4	0	Link,Link,Link,Link	none	no	no	2	no	no
JAH Review.pdf	3	1	1	4	4	0	Link,Link,Link,Link	none	no	no	2	no	no
Keyssar_2000_The Right to Vote_Basic Books.pdf	3	1	1	5	5	0	Link,Link,Link,Link,Link	none	no	no	2	no	no
Morgan_1975_American Slavery, American Freedom_Norton.pdf	3	1	1	5	5	0	Link,Link,Link,Link,Link	none	no	no	2	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	67	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	68	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	91	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	92	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	93	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	94	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	95	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	96	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	146	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	147	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	148	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	171	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	172	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	199	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	200	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	205	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	206	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	223	0	0	0	-	none	no	no	3	no	no
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	19	224	0	0	0	-	none	no	no	3	no	no
Westad_2005_The Global Cold War_Cambridge University Press.pdf	3	1	1	4	4	0	Link,Link,Link,Link	none	no	no	2	no	no
Canby_1929_Comment on Several Subjects.pdf	4	3	2	0	0	0	-	none	no	yes	0	no	no
