page	kind	w	h	dpi	otsu	minRows	padRows	obsN	words	inkRows	bareRows	bareShare	longBare	voidInk	voidShare	voidN	longVoid	voidLongInk	tiles	tObsN	tWords	tBareRows	tBareShare	tLongBare	tVoidInk	tVoidShare	verdict
p1	bilevel	3307	4488	400.0	90	80	8	46	296	3070	1288	0.4195	683	1367	0.4453	4	1652	1345	1	46	296	1288	0.4195	683	1367	0.4453	bare
p2	bilevel	3307	4409	400.0	90	80	8	41	445	3028	631	0.2084	437	741	0.2447	4	1002	741	1	41	445	631	0.2084	437	741	0.2447	bare
p3	bilevel	3307	4409	400.0	90	80	8	34	332	3184	918	0.2883	308	1093	0.3433	6	633	580	1	34	332	918	0.2883	308	1093	0.3433	bare
p4	bilevel	3307	4409	400.0	90	80	8	35	307	3024	996	0.3294	171	1116	0.3690	11	523	281	1	35	307	996	0.3294	171	1116	0.3690	bare
p5	bilevel	3307	4409	400.0	90	80	8	35	279	2959	1239	0.4187	391	1248	0.4218	8	823	666	1	35	279	1239	0.4187	391	1248	0.4218	bare
p6	bilevel	3307	4409	400.0	90	80	8	50	421	3200	489	0.1528	207	662	0.2069	6	594	254	1	50	421	489	0.1528	207	662	0.2069	bare
p1	bilevel	3307	4488	400.0	90	80	8	46	296	3070	1288	0.4195	683	1367	0.4453	4	1652	1345	2	64	468	285	0.0928	145	326	0.1062	bare
p2	bilevel	3307	4409	400.0	90	80	8	41	445	3028	631	0.2084	437	741	0.2447	4	1002	741	2	50	547	89	0.0294	89	89	0.0294	bare
p3	bilevel	3307	4409	400.0	90	80	8	34	332	3184	918	0.2883	308	1093	0.3433	6	633	580	2	65	643	0	0.0000	0	0	0.0000	bare
p4	bilevel	3307	4409	400.0	90	80	8	35	307	3024	996	0.3294	171	1116	0.3690	11	523	281	2	35	314	938	0.3102	373	939	0.3105	bare
p5	bilevel	3307	4409	400.0	90	80	8	35	279	2959	1239	0.4187	391	1248	0.4218	8	823	666	2	48	465	270	0.0912	167	302	0.1021	bare
p6	bilevel	3307	4409	400.0	90	80	8	50	421	3200	489	0.1528	207	662	0.2069	6	594	254	2	63	607	81	0.0253	81	81	0.0253	bare
p1	bilevel	3307	4488	400.0	90	80	8	46	296	3070	1288	0.4195	683	1367	0.4453	4	1652	1345	4	80	583	136	0.0443	136	181	0.0590	bare
p2	bilevel	3307	4409	400.0	90	80	8	41	445	3028	631	0.2084	437	741	0.2447	4	1002	741	4	43	456	581	0.1919	437	624	0.2061	bare
p3	bilevel	3307	4409	400.0	90	80	8	34	332	3184	918	0.2883	308	1093	0.3433	6	633	580	4	55	539	255	0.0801	134	255	0.0801	bare
p4	bilevel	3307	4409	400.0	90	80	8	35	307	3024	996	0.3294	171	1116	0.3690	11	523	281	4	40	366	936	0.3095	274	965	0.3191	bare
p5	bilevel	3307	4409	400.0	90	80	8	35	279	2959	1239	0.4187	391	1248	0.4218	8	823	666	4	53	521	0	0.0000	56	0	0.0000	bare
p6	bilevel	3307	4409	400.0	90	80	8	50	421	3200	489	0.1528	207	662	0.2069	6	594	254	4	49	511	579	0.1809	255	649	0.2028	bare
p1	bilevel	3307	4488	400.0	90	80	8	46	296	3070	1288	0.4195	683	1367	0.4453	4	1652	1345	8	80	562	188	0.0612	188	200	0.0651	bare
p2	bilevel	3307	4409	400.0	90	80	8	41	445	3028	631	0.2084	437	741	0.2447	4	1002	741	8	64	643	0	0.0000	0	0	0.0000	bare
p3	bilevel	3307	4409	400.0	90	80	8	34	332	3184	918	0.2883	308	1093	0.3433	6	633	580	8	71	551	216	0.0678	216	216	0.0678	bare
p4	bilevel	3307	4409	400.0	90	80	8	35	307	3024	996	0.3294	171	1116	0.3690	11	523	281	8	66	612	0	0.0000	10	9	0.0030	bare
p5	bilevel	3307	4409	400.0	90	80	8	35	279	2959	1239	0.4187	391	1248	0.4218	8	823	666	8	62	569	0	0.0000	55	0	0.0000	bare
p6	bilevel	3307	4409	400.0	90	80	8	50	421	3200	489	0.1528	207	662	0.2069	6	594	254	8	73	640	0	0.0000	47	0	0.0000	bare
