document	page	source_route	source_page_bytes	before_route	before_page_bytes	after_route	after_page_bytes
Dobbin	1	passthrough	24730	jpeg-colour	84410	jbig2-mrc	45026
Dobbin	2	passthrough	9860	passthrough	9004	passthrough	9860
Dobbin	3	passthrough	1834	passthrough	14999	passthrough	1834
Dobbin	4	passthrough	32638	passthrough	27865	passthrough	32638
Dobbin	5	passthrough	37053	passthrough	46423	passthrough	37053
Dobbin	6	passthrough	17428	passthrough	15170	passthrough	17428
Dobbin	7	passthrough	1834	passthrough	14998	passthrough	1834
Dobbin	8	passthrough	54178	passthrough	43930	passthrough	54178
Dobbin	9	passthrough	48799	passthrough	49121	passthrough	48799
Dobbin	10	passthrough	28405	passthrough	39344	passthrough	28405
Dobbin	11	passthrough	37235	passthrough	33133	passthrough	37235
Dobbin	12	passthrough	60863	passthrough	60088	passthrough	60863
Dobbin	13	passthrough	37101	passthrough	57004	passthrough	37101
Dobbin	14	passthrough	37211	passthrough	47835	passthrough	37211
Dobbin	15	passthrough	49693	passthrough	67452	passthrough	49693
Dobbin	16	passthrough	37138	passthrough	47457	passthrough	37138
Dobbin	17	passthrough	37170	passthrough	57253	passthrough	37170
Dobbin	18	passthrough	37185	passthrough	47738	passthrough	37185
Dobbin	19	passthrough	49441	passthrough	66791	passthrough	49441
Dobbin	20	passthrough	37036	passthrough	47575	passthrough	37036
Dobbin	21	passthrough	37031	passthrough	56811	passthrough	37031
Dobbin	22	passthrough	37063	passthrough	47259	passthrough	37063
Dobbin	23	passthrough	37162	passthrough	56831	passthrough	37162
Dobbin	24	passthrough	37087	passthrough	47400	passthrough	37087
Dobbin	25	passthrough	47160	passthrough	65776	passthrough	47160
Dobbin	26	passthrough	49647	passthrough	58020	passthrough	49647
Dobbin	27	passthrough	49581	passthrough	67260	passthrough	49581
Dobbin	28	passthrough	37206	passthrough	47748	passthrough	37206
Dobbin	29	passthrough	37021	passthrough	56819	passthrough	37021
Dobbin	30	passthrough	37227	passthrough	47672	passthrough	37227
Dobbin	31	passthrough	37158	passthrough	57091	passthrough	37158
Dobbin	32	passthrough	36660	passthrough	46879	passthrough	36660
Dobbin	33	passthrough	32686	passthrough	43726	passthrough	32686
Dobbin	34	passthrough	37206	passthrough	47626	passthrough	37206
Dobbin	35	passthrough	37324	passthrough	57478	passthrough	37324
Dobbin	36	passthrough	37266	passthrough	57201	passthrough	37266
Dobbin	37	passthrough	37358	passthrough	57181	passthrough	37358
Dobbin	38	passthrough	37189	passthrough	47412	passthrough	37189
Dobbin	39	passthrough	58733	passthrough	75540	passthrough	58733
Dobbin	40	passthrough	55946	passthrough	62866	passthrough	55946
Dobbin	41	passthrough	49760	passthrough	78012	passthrough	49760
Dobbin	42	passthrough	49683	passthrough	57971	passthrough	49683
Dobbin	43	passthrough	49564	passthrough	78042	passthrough	49564
Dobbin	44	passthrough	50506	passthrough	58788	passthrough	50506
Dobbin	45	passthrough	49501	passthrough	67267	passthrough	49501
Dobbin	46	passthrough	37026	passthrough	47239	passthrough	37026
Dobbin	47	passthrough	49621	passthrough	67240	passthrough	49621
Dobbin	48	passthrough	59073	passthrough	74000	passthrough	59073
Dobbin	49	passthrough	58813	passthrough	75148	passthrough	58813
Dobbin	50	passthrough	37252	passthrough	47888	passthrough	37252
Dobbin	51	passthrough	36764	passthrough	56353	passthrough	36764
Dobbin	52	passthrough	73398	passthrough	71417	passthrough	73398
Dobbin	53	passthrough	36992	passthrough	56874	passthrough	36992
Dobbin	54	passthrough	49668	passthrough	58081	passthrough	49668
Dobbin	55	passthrough	59015	passthrough	72189	passthrough	59015
Dobbin	56	passthrough	37094	passthrough	56974	passthrough	37094
Dobbin	57	passthrough	37342	passthrough	56991	passthrough	37342
Dobbin	58	passthrough	37073	passthrough	47434	passthrough	37073
Dobbin	59	passthrough	49690	passthrough	67427	passthrough	49690
Dobbin	60	passthrough	37236	passthrough	47733	passthrough	37236
Dobbin	61	passthrough	49779	passthrough	67352	passthrough	49779
Dobbin	62	passthrough	49687	passthrough	58097	passthrough	49687
Dobbin	63	passthrough	37226	passthrough	56958	passthrough	37226
Dobbin	64	passthrough	37103	passthrough	47342	passthrough	37103
Dobbin	65	passthrough	56977	passthrough	80567	passthrough	56977
Dobbin	66	passthrough	64983	passthrough	70492	passthrough	64983
Dobbin	67	passthrough	58777	passthrough	75252	passthrough	58777
Dobbin	68	passthrough	37257	passthrough	47692	passthrough	37257
Dobbin	69	passthrough	37394	passthrough	57093	passthrough	37394
Dobbin	70	passthrough	49925	passthrough	58201	passthrough	49925
Dobbin	71	passthrough	59059	passthrough	75295	passthrough	59059
Dobbin	72	passthrough	65236	passthrough	70747	passthrough	65236
Dobbin	73	passthrough	59018	passthrough	72241	passthrough	59018
Dobbin	74	passthrough	49596	passthrough	57755	passthrough	49596
Dobbin	75	passthrough	55837	passthrough	72184	passthrough	55837
Dobbin	76	passthrough	56023	passthrough	62835	passthrough	56023
Dobbin	77	passthrough	37148	passthrough	56794	passthrough	37148
Dobbin	78	passthrough	58882	passthrough	62770	passthrough	58882
Dobbin	79	passthrough	45894	passthrough	36748	passthrough	45894
Dobbin	80	passthrough	56627	passthrough	70899	passthrough	56627
Dobbin	81	passthrough	37299	passthrough	57117	passthrough	37299
Dobbin	82	passthrough	37055	passthrough	47407	passthrough	37055
Dobbin	83	passthrough	37059	passthrough	56772	passthrough	37059
Dobbin	84	passthrough	37269	passthrough	47698	passthrough	37269
Dobbin	85	passthrough	36333	passthrough	55595	passthrough	36333
Dobbin	86	passthrough	60939	passthrough	63773	passthrough	60939
Dobbin	87	passthrough	37003	passthrough	57001	passthrough	37003
Dobbin	88	passthrough	49627	passthrough	57750	passthrough	49627
Dobbin	89	passthrough	37156	passthrough	57190	passthrough	37156
Dobbin	90	passthrough	37332	passthrough	47968	passthrough	37332
Dobbin	91	passthrough	56216	passthrough	72522	passthrough	56216
Dobbin	92	passthrough	56585	passthrough	63560	passthrough	56585
Dobbin	93	passthrough	49908	passthrough	67512	passthrough	49908
Dobbin	94	passthrough	37212	passthrough	47922	passthrough	37212
Dobbin	95	passthrough	49679	passthrough	67339	passthrough	49679
Dobbin	96	passthrough	49702	passthrough	58564	passthrough	49702
Dobbin	97	passthrough	50035	passthrough	68248	passthrough	50035
Dobbin	98	passthrough	46801	passthrough	57379	passthrough	46801
Dobbin	99	passthrough	49535	passthrough	67200	passthrough	49535
Dobbin	100	passthrough	49845	passthrough	58216	passthrough	49845
Dobbin	101	passthrough	55952	passthrough	72335	passthrough	55952
Dobbin	102	passthrough	56264	passthrough	63277	passthrough	56264
Dobbin	103	passthrough	49794	passthrough	67564	passthrough	49794
Dobbin	104	passthrough	49791	passthrough	57991	passthrough	49791
Dobbin	105	passthrough	49852	passthrough	67483	passthrough	49852
