doc	page	squashed_old	squashed_new	inkUnderLines_old	inkUnderLines_new	note
Koh - 2008 - Essays on stock options expensing and stock option	71	60%	0%	6.4%	85.0%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	72	64%	0%	8.8%	94.5%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	73	52%	0%	14.8%	97.0%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	90	39%	0%	31.9%	86.5%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	91	43%	0%	25.1%	87.7%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	92	38%	0%	19.1%	88.3%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	125	82%	0%	12.1%	93.9%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	126	58%	0%	17.1%	95.1%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	127	86%	0%	5.6%	96.4%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	128	58%	0%	16.5%	96.2%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	129	87%	0%	5.9%	98.1%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	168	55%	0%	19.1%	91.1%	Rotate 270
Koh - 2008 - Essays on stock options expensing and stock option	169	65%	0%	13.2%	92.7%	Rotate 270
Mintzberg - 1973 - The nature of managerial work	57	87%	0%	6.4%	81.4%	
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County	32	52%	52%	90.4%	90.4%	born-digital page, tiny screenshot print; not sideways
Lemieux et al. - Performance Pay and Wage Inequality	44	66%	0%	15.8%	82.0%	
Doermann_1967_The market for college education in the United States	10	55%	0%	17.6%	53.2%	
mudge-144-146	145	85%	0%	4.2%	26.0%	pages 144-146 extracted with qpdf
Burke - The Expansion of American Higher Education	14	31%	0%	42.5%	64.5%	
Burke - The Expansion of American Higher Education	16	56%	0%	21.8%	47.7%	
_1939_Former students to Board re Merriam_	5	7%	0%	0.4%	6.3%	handwriting
