verdict	pages	sampled	imagePages	digitalText	charsPerPage	maxImagePx	medianDPI	saturation	illumination	path
photographed	10	5	5	no	115	1224	111	0.041	0.169	testdocs/book/1954 - Why.pdf
scanned	31	5	5	no	2237	1582	300	0.000	0.048	testdocs/book/Berle_1940_New directions in the new world,_Harper.pdf
scanned	203	5	5	no	5268	8352	515	0.000	0.053	testdocs/book/Boltanski_2006_On justification_Princeton University Press.pdf
scanned	10	5	5	no	2846	1020	150	0.000	0.036	testdocs/book/Casey_1954_1954 pay almanac,.pdf
scanned	8	5	5	no	3122	3400	600	0.001	0.047	testdocs/book/Cohen_1990_Making a New Deal_Cambridge University Press.pdf
scanned	436	5	5	no	3058	1944	360	0.009	0.048	testdocs/book/Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf
scanned	30	5	5	no	2293	1856	300	0.000	0.073	testdocs/book/Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf
scanned	226	5	5	no	2317	1050	200	0.000	0.042	testdocs/book/Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf
scanned	6	5	5	no	0	1020	123	0.000	0.035	testdocs/book/Gowan and Demos - 1964 - The education and guidance of the ablest.pdf
scanned	6	5	5	no	3338	954	144	0.000	0.040	testdocs/book/Guilford_Psychometric Methods.pdf
scanned	574	5	5	no	2772	3165	446	0.000	0.036	testdocs/book/Hayek_1978_The constitution of liberty_University of Chicago Press.pdf
scanned	255	5	5	no	1640	1494	144	0.000	0.036	testdocs/book/Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf
scanned	263	5	5	no	2493	2100	144	0.000	0.072	testdocs/book/Ibson_2006_Picturing men.pdf
scanned	3	3	2	no	2280	3400	600	0.001	0.048	testdocs/book/JAH Review.pdf
scanned	3	3	2	no	4475	4200	600	0.001	0.059	testdocs/book/Keyssar_2000_The Right to Vote_Basic Books.pdf
scanned	81	5	5	no	4758	3600	300	0.000	0.057	testdocs/book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf
scanned	119	5	5	no	4365	3541	300	0.000	0.037	testdocs/book/Mintzberg - 1973 - The nature of managerial work.pdf
scanned	12	5	5	no	4168	4248	300	0.000	0.027	testdocs/book/Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf
scanned	3	3	2	no	3891	3950	600	0.001	0.037	testdocs/book/Morgan_1975_American Slavery, American Freedom_Norton.pdf
scanned	372	5	5	no	2391	2143	300	0.000	0.065	testdocs/book/Mudge_2018_Leftism Reinvented_Harvard University Press.pdf
scanned	7	5	5	no	5060	2200	200	0.000	0.032	testdocs/book/Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf
scanned	146	5	5	no	2688	1023	105	0.000	0.016	testdocs/book/New York Stock Exchange_1956_Stock ownership plans for employees.pdf
scanned	414	5	5	no	2536	2763	450	0.000	0.033	testdocs/book/Noble_1977_America by design.pdf
scanned	25	5	5	no	2355	2076	400	0.080	0.073	testdocs/book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf
scanned	191	5	5	no	2163	2507	500	0.000	0.047	testdocs/book/Schumpeter_1955_Imperialism ; Social classes_World.pdf
scanned	18	5	5	no	2795	2098	300	0.000	0.062	testdocs/book/Shows and Burton - 1972 - Microeconomics.pdf
scanned	40	5	5	no	4502	1361	150	0.000	0.068	testdocs/book/UN-OCred.pdf
scanned	3	3	2	no	3357	3900	600	0.001	0.046	testdocs/book/Westad_2005_The Global Cold War_Cambridge University Press.pdf
scanned	22	5	5	no	5272	3257	298	0.000	0.045	testdocs/book/_2010_New Materialisms_Duke University Press.pdf
scanned	29	5	5	no	3184	1773	300	0.000	0.039	testdocs/bookSection/Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf
scanned	24	5	5	no	2782	2175	300	0.000	0.065	testdocs/bookSection/Berger_2013_Toward a Third Industrial Divide_.pdf
scanned	13	5	5	no	5418	2278	200	0.000	0.067	testdocs/bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf
scanned	25	5	5	no	1249	1459	300	0.000	0.053	testdocs/bookSection/Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf
born-digital	4	4	1	yes	1952	1181	78	0.000	0.040	testdocs/bookSection/Canby_1929_Comment on Several Subjects.pdf
scanned	29	5	4	no	2931	1854	150	0.000	0.072	testdocs/bookSection/Falasca-Zamponi_2004_The »Culture« of Personality.pdf
scanned	62	5	5	no	2547	984	150	0.000	0.090	testdocs/bookSection/Findlay_1992_Stanford Industrial Park_University of California Press.pdf
scanned	26	5	5	no	0	2228	400	0.000	0.077	testdocs/bookSection/Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf
scanned	22	5	5	no	1909	1708	300	0.000	0.040	testdocs/bookSection/Gilroy - 2000 - Getting In.pdf
scanned	6	5	5	no	4629	3266	374	0.000	0.080	testdocs/bookSection/Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf
scanned	324	5	5	no	2727	1460	300	0.000	0.052	testdocs/bookSection/Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf
scanned	15	5	5	no	4158	3585	300	0.000	0.017	testdocs/bookSection/Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf
scanned	16	5	4	no	1789	1250	144	0.000	0.020	testdocs/bookSection/Kazin_1955_The Writer and the .pdf
scanned	40	5	5	no	2498	1014	200	0.000	0.056	testdocs/bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf
scanned	29	5	5	no	4952	3431	300	0.000	0.040	testdocs/bookSection/Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf
scanned	23	5	5	no	1734	1890	300	0.000	0.047	testdocs/bookSection/Lloyd-Jones_Smith_1938_Selection and Admissions.pdf
scanned	10	5	5	no	4923	3300	300	0.000	0.022	testdocs/bookSection/Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf
scanned	23	5	5	no	1874	1396	164	0.000	0.040	testdocs/bookSection/Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf
scanned	31	5	5	no	1917	1966	400	0.000	0.043	testdocs/bookSection/Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf
scanned	25	5	5	no	2836	1467	300	0.000	0.034	testdocs/bookSection/Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf
scanned	65	5	5	no	2385	2531	300	0.000	0.043	testdocs/bookSection/National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf
scanned	37	5	5	no	2154	1646	300	0.000	0.059	testdocs/bookSection/O'Brien_1955_The Area of Admissions in Higher Education_.pdf
scanned	15	5	5	no	4836	3534	403	0.000	0.069	testdocs/bookSection/Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf
scanned	40	5	4	no	3013	1830	300	0.000	0.068	testdocs/bookSection/Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf
scanned	11	5	5	no	4900	1936	150	0.000	0.053	testdocs/bookSection/Schaar, handwritten notes.pdf
scanned	56	5	5	no	3014	1750	300	0.000	0.052	testdocs/bookSection/Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf
scanned	150	5	5	no	3417	2656	302	0.000	0.034	testdocs/bookSection/_1945_Postwar Economic Policy and Planning_.pdf
scanned	32	5	1	no	1734	918	98	0.000	0.053	testdocs/bookSection/full chapter.pdf
scanned	8	5	5	no	0	1700	200	0.000	0.044	testdocs/document/(F) Dickens.pdf
scanned	9	5	5	no	0	4000	305	0.068	0.094	testdocs/document/1881 - Harry Wilcox.pdf
scanned	9	5	5	no	0	3024	72	0.063	0.088	testdocs/document/1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf
scanned	15	5	5	no	3065	1700	200	0.000	0.028	testdocs/document/2008_Hoagland oral history.pdf
scanned	18	5	5	no	3118	1700	200	0.000	0.041	testdocs/document/2008_McIntyre oral history.pdf
scanned	38	5	5	no	1832	1812	213	0.050	0.037	testdocs/document/2013 - Silicon Valley Program Transcript.pdf
scanned	71	5	5	no	1563	1700	200	0.000	0.024	testdocs/document/2015_Gibbs oral history.pdf
scanned	69	5	5	no	1532	1700	200	0.000	0.025	testdocs/document/2017_Bunnell oral history, athletics.pdf
scanned	75	5	5	no	2145	1275	150	0.003	0.025	testdocs/document/2024 - Class Action lawsuit re need blind admissions.pdf
scanned	3	3	3	no	0	1935	72	0.061	0.154	testdocs/document/Atkinson_1939_Atkinson on firings_.pdf
scanned	6	5	5	no	0	1935	72	0.054	0.123	testdocs/document/Ford_1941_Speech_.pdf
scanned	7	5	5	no	3314	2007	200	0.000	0.046	testdocs/document/Freud_Fetishism.pdf
scanned	14	5	5	no	7896	4334	300	0.000	0.044	testdocs/document/Galison_1998_Trading Zone_.pdf
scanned	99	5	5	no	1989	1700	200	0.000	0.028	testdocs/document/Geiger oral history.pdf
scanned	201	5	5	no	978	1700	200	0.000	0.011	testdocs/document/Henry Morgenthau papers.pdf
scanned	15	5	5	no	0	1700	200	0.000	0.036	testdocs/document/Herbert Marks papers.pdf
scanned	45	5	5	no	3384	1107	150	0.000	0.029	testdocs/document/Intellectual History Newsletter -- Forum on Menand.pdf
scanned	114	5	5	no	1684	3400	400	0.000	0.029	testdocs/document/Lyons oral history.pdf
scanned	46	5	5	no	1611	3400	400	0.000	0.026	testdocs/document/Nogales oral history.pdf
scanned	1	1	1	no	25382	2287	152	0.000	0.064	testdocs/document/October_2,_1960_(Page_24_of_25.pdf
scanned	10	5	5	no	1887	5256	600	0.000	0.047	testdocs/document/RIESMAN_1942_American Law Institute Proceedings_.pdf
scanned	18	5	5	no	2198	1490	300	0.000	0.033	testdocs/document/Riesman_1964_From inner-directed to other- directed_.pdf
scanned	12	5	5	no	2263	1470	300	0.000	0.059	testdocs/document/Riesman_1964_The New Education_.pdf
scanned	30	5	5	no	2850	3264	300	0.000	0.035	testdocs/document/Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf
scanned	27	5	5	no	1766	1468	173	0.002	0.008	testdocs/document/Senate, Democratic Leadership.pdf
scanned	4	4	4	no	1757	1192	150	0.045	0.025	testdocs/document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf
