document	page	drawsAny	dictWidth	dictDPI	dictRebuildDPI	drawnKind	drawnWidth	drawnDPI	drawnRebuildDPI	policyMoves	verdict	shippedRebuildDPI
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	9	yes	3142	369.6	369.6	largest	1254	147.5	147.5	moves	smaller	147.5
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	yes	3142	369.6	369.6	largest	600	70.6	70.6	moves	smaller	70.6
Astin__The Challenge of Open Admissions by Alexander W_UNZ.org	1	yes	2572	302.6	302.6	unreadable	-	-	302.6	same	unreadable	302.6
Astin__The Challenge of Open Admissions by Alexander W_UNZ.org	2	yes	2572	302.6	302.6	unreadable	-	-	302.6	same	unreadable	302.6
Astin__The Challenge of Open Admissions by Alexander W_UNZ.org	3	yes	2572	302.6	302.6	unreadable	-	-	302.6	same	unreadable	302.6
Sherman_1986_elite institutions_The Public Interest; New York	1	yes	3464	419.0	419.0	largest	3451	417.4	417.4	moves	smaller	417.4
Sherman_1986_elite institutions_The Public Interest; New York	2	yes	3464	419.0	419.0	largest	3446	416.8	416.8	moves	smaller	416.8
Sherman_1986_elite institutions_The Public Interest; New York	3	yes	3464	419.0	419.0	largest	3400	411.2	411.2	moves	smaller	411.2
Sherman_1986_elite institutions_The Public Interest; New York	4	yes	3464	419.0	419.0	largest	3457	418.1	418.1	moves	smaller	418.1
Sherman_1986_elite institutions_The Public Interest; New York	5	yes	3464	419.0	419.0	largest	3415	413.1	413.1	moves	smaller	413.1
AI 2027	1	yes	2929	354.3	354.3	largest	245	29.6	300.0	moves	smaller	300.0
AI 2027	2	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	3	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	4	yes	2929	354.3	354.3	largest	3000	362.9	362.9	moves	wider	362.9
AI 2027	6	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	8	yes	2929	354.3	354.3	largest	3000	362.9	362.9	moves	wider	362.9
AI 2027	9	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	10	yes	2929	354.3	354.3	largest	3000	362.9	362.9	moves	wider	362.9
AI 2027	11	yes	2929	354.3	354.3	largest	3000	362.9	362.9	moves	wider	362.9
AI 2027	12	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	13	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	14	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	15	yes	2929	354.3	354.3	largest	3000	362.9	362.9	moves	wider	362.9
AI 2027	16	yes	2929	354.3	354.3	largest	1817	219.8	219.8	moves	smaller	219.8
AI 2027	17	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	18	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	21	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	23	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	24	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	26	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	27	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	28	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	30	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	32	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	34	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	35	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	37	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	38	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	39	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	40	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	41	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	42	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	43	yes	2929	354.3	354.3	largest	1290	156.0	156.0	moves	smaller	156.0
AI 2027	47	yes	2929	354.3	354.3	largest	2476	299.5	299.5	moves	smaller	299.5
AI 2027	49	yes	2929	354.3	354.3	largest	2676	323.7	323.7	moves	smaller	323.7
AI 2027	50	yes	2929	354.3	354.3	largest	1672	202.2	202.2	moves	smaller	202.2
AI 2027	54	yes	2929	354.3	354.3	largest	3169	383.3	383.3	moves	wider	383.3
AI 2027	66	yes	2929	354.3	354.3	largest	2200	266.1	266.1	moves	smaller	266.1
