file	page	gutters	wideGutters	narrowGutters	widestFrac	band	lines	crossing	crossWide	crossNarrow	share
1954 - Why.pdf	6	2	2	0	0.0521	wide	57	0	0	0	0.00%
Boltanski_2006_On justification_Princeton University Press.pdf	2	1	1	0	0.1676	wide	1	0	0	0	0.00%
Boltanski_2006_On justification_Princeton University Press.pdf	102	2	2	0	0.0474	wide	112	0	0	0	0.00%
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	16	1	1	0	0.1350	wide	42	0	0	0	0.00%
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	30	1	1	0	0.0717	wide	29	0	0	0	0.00%
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	2	2	0	2	0.0254	narrow	1	1	0	1	100.00%
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	2	1	0	1	0.0194	narrow	19	1	0	1	5.26%
Himanen_2001_The hacker ethic and the spirit of the information age_Random House.pdf	2	4	0	4	0.0244	narrow	8	1	0	1	12.50%
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	2	3	2	1	0.1017	wide	6	0	0	0	0.00%
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	81	1	0	1	0.0244	narrow	96	0	0	0	0.00%
Mintzberg - 1973 - The nature of managerial work.pdf	2	2	2	0	0.1145	wide	51	0	0	0	0.00%
Mintzberg - 1973 - The nature of managerial work.pdf	60	2	2	0	0.0715	wide	55	0	0	0	0.00%
Mintzberg - 1973 - The nature of managerial work.pdf	119	4	4	0	0.0636	wide	170	0	0	0	0.00%
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	7	1	1	0	0.0476	wide	198	0	0	0	0.00%
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	4	2	1	1	0.0527	wide	89	0	0	0	0.00%
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	7	2	2	0	0.0945	wide	46	0	0	0	0.00%
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	74	2	0	2	0.0281	narrow	90	2	0	2	2.22%
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	146	2	2	0	0.0857	wide	80	2	2	0	2.50%
Shows and Burton - 1972 - Microeconomics.pdf	18	1	0	1	0.0251	narrow	12	1	0	1	8.33%
UN-OCred.pdf	2	1	1	0	0.1421	wide	8	0	0	0	0.00%
Berger_2013_Toward a Third Industrial Divide_.pdf	24	1	1	0	0.0640	wide	52	0	0	0	0.00%
Canby_1929_Comment on Several Subjects.pdf	2	3	1	2	0.1208	wide	34	0	0	0	0.00%
Canby_1929_Comment on Several Subjects.pdf	3	1	0	1	0.0298	narrow	58	0	0	0	0.00%
Canby_1929_Comment on Several Subjects.pdf	4	2	1	1	0.0392	wide	62	0	0	0	0.00%
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	32	1	1	0	0.0504	wide	43	0	0	0	0.00%
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	62	1	1	0	0.1492	wide	44	0	0	0	0.00%
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	2	2	2	0	0.0579	wide	77	0	0	0	0.00%
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	4	2	2	0	0.0699	wide	68	0	0	0	0.00%
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	6	2	2	0	0.0742	wide	47	0	0	0	0.00%
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	324	1	1	0	0.0411	wide	95	0	0	0	0.00%
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	2	1	0	1	0.0292	narrow	47	0	0	0	0.00%
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	8	2	0	2	0.0285	narrow	86	0	0	0	0.00%
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	2	1	1	0	0.0848	wide	13	0	0	0	0.00%
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	2	1	0	1	0.0206	narrow	24	0	0	0	0.00%
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	6	2	0	2	0.0285	narrow	81	0	0	0	0.00%
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	65	1	0	1	0.0196	narrow	35	0	0	0	0.00%
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	8	2	0	2	0.0298	narrow	83	0	0	0	0.00%
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	15	2	1	1	0.0533	wide	73	0	0	0	0.00%
full chapter.pdf	2	3	1	2	0.0455	wide	2	0	0	0	0.00%
full chapter.pdf	32	2	1	1	0.0580	wide	8	0	0	0	0.00%
Freud_Fetishism.pdf	2	2	2	0	0.1028	wide	61	0	0	0	0.00%
Freud_Fetishism.pdf	4	2	0	2	0.0326	narrow	59	0	0	0	0.00%
Freud_Fetishism.pdf	7	2	0	2	0.0286	narrow	82	0	0	0	0.00%
Henry Morgenthau papers.pdf	2	3	2	1	0.0541	wide	72	0	0	0	0.00%
Henry Morgenthau papers.pdf	101	3	3	0	0.1255	wide	67	0	0	0	0.00%
Herbert Marks papers.pdf	2	1	1	0	0.0729	wide	11	0	0	0	0.00%
Nogales oral history.pdf	46	2	1	1	0.0604	wide	5	1	0	1	0.00%
RIESMAN_1942_American Law Institute Proceedings_.pdf	2	1	0	1	0.0224	narrow	5	0	0	0	0.00%
Riesman_1964_The New Education_.pdf	12	3	0	3	0.0199	narrow	55	1	0	1	1.82%
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	30	1	1	0	0.0837	wide	24	0	0	0	0.00%
Donahue - 2001 - Time to Get Serious About Talent Management.pdf	1	1	0	1	0.0241	narrow	144	0	0	0	0.00%
