file	page	gutters	wideGutters	narrowGutters	widestFrac	band	lines	crossing	crossWide	crossNarrow	share
1954 - Why.pdf	6	2	2	0	0.0521	wide	57	0	0	0	0.00%
Boltanski_2006_On justification_Princeton University Press.pdf	2	1	1	0	0.1676	wide	1	0	0	0	0.00%
Boltanski_2006_On justification_Princeton University Press.pdf	102	2	2	0	0.0474	wide	112	0	0	0	0.00%
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	16	1	1	0	0.1350	wide	42	0	0	0	0.00%
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	30	1	1	0	0.0717	wide	29	0	0	0	0.00%
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	2	2	2	0	0.1017	wide	6	0	0	0	0.00%
Mintzberg - 1973 - The nature of managerial work.pdf	2	2	2	0	0.1145	wide	51	0	0	0	0.00%
Mintzberg - 1973 - The nature of managerial work.pdf	60	2	2	0	0.0715	wide	55	0	0	0	0.00%
Mintzberg - 1973 - The nature of managerial work.pdf	119	4	4	0	0.0636	wide	170	0	0	0	0.00%
Mitchell_1958_Stanford University, 1916-1941_Stanford Unoversity Press.pdf	7	1	1	0	0.0476	wide	198	0	0	0	0.00%
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	4	1	1	0	0.0527	wide	89	0	0	0	0.00%
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	7	2	2	0	0.0945	wide	46	0	0	0	0.00%
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	146	2	2	0	0.0857	wide	80	2	2	0	2.50%
UN-OCred.pdf	2	1	1	0	0.1421	wide	8	0	0	0	0.00%
Berger_2013_Toward a Third Industrial Divide_.pdf	24	1	1	0	0.0640	wide	52	0	0	0	0.00%
Canby_1929_Comment on Several Subjects.pdf	2	1	1	0	0.1208	wide	34	0	0	0	0.00%
Canby_1929_Comment on Several Subjects.pdf	4	1	1	0	0.0392	wide	62	0	0	0	0.00%
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	32	1	1	0	0.0504	wide	43	0	0	0	0.00%
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	62	1	1	0	0.1492	wide	44	0	0	0	0.00%
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	2	2	2	0	0.0579	wide	77	0	0	0	0.00%
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	4	2	2	0	0.0699	wide	68	0	0	0	0.00%
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	6	2	2	0	0.0742	wide	47	0	0	0	0.00%
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	324	1	1	0	0.0411	wide	95	0	0	0	0.00%
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	2	1	1	0	0.0848	wide	13	0	0	0	0.00%
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	15	1	1	0	0.0533	wide	73	0	0	0	0.00%
full chapter.pdf	2	1	1	0	0.0455	wide	2	0	0	0	0.00%
full chapter.pdf	32	1	1	0	0.0580	wide	8	0	0	0	0.00%
Freud_Fetishism.pdf	2	2	2	0	0.1028	wide	61	0	0	0	0.00%
Henry Morgenthau papers.pdf	2	2	2	0	0.0541	wide	72	0	0	0	0.00%
Henry Morgenthau papers.pdf	101	3	3	0	0.1255	wide	67	0	0	0	0.00%
Herbert Marks papers.pdf	2	1	1	0	0.0729	wide	11	0	0	0	0.00%
Nogales oral history.pdf	46	1	1	0	0.0604	wide	5	0	0	0	0.00%
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	30	1	1	0	0.0837	wide	24	0	0	0	0.00%
Robin_Stephens_1996_Against the Grain_Social Text.pdf	17	1	1	0	0.0381	wide	63	0	0	0	0.00%
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY.pdf	2	1	1	0	0.0474	wide	115	1	1	0	0.87%
1947_Corporation Tax Study Due By House Body.pdf	4	1	1	0	0.3242	wide	6	0	0	0	0.00%
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	2	1	1	0	0.1022	wide	39	0	0	0	0.00%
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	7	1	1	0	0.0389	wide	63	0	0	0	0.00%
Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	13	1	1	0	0.0394	wide	67	0	0	0	0.00%
Peters_1989_Tilting at Windmilss_Washington Monthly.pdf	4	2	2	0	0.0386	wide	164	0	0	0	0.00%
AI 2027.pdf	2	1	1	0	0.0452	wide	54	0	0	0	0.00%
AI 2027.pdf	36	1	1	0	0.0435	wide	58	0	0	0	0.00%
w7787 2.pdf	30	5	5	0	0.0743	wide	4	1	1	0	25.00%
w7787.pdf	30	5	5	0	0.0743	wide	4	1	1	0	25.00%
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning.pdf	2	1	1	0	0.0539	wide	42	0	0	0	0.00%
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning.pdf	132	1	1	0	0.0420	wide	39	0	0	0	0.00%
CARTWRIGHT_Legislation Against Discrimination in Employment in New York State.pdf	398	1	1	0	0.1908	wide	18	0	0	0	0.00%
DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa.pdf	159	1	1	0	0.1664	wide	22	0	0	0	0.00%
DOBBS_1955_A Technique for the Development and Validation of Job Evaluation Cases_University of North Texas.pdf	2	1	1	0	0.0901	wide	4	0	0	0	0.00%
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University.pdf	2	1	1	0	0.0375	wide	11	0	0	0	0.00%
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University.pdf	212	1	1	0	0.0388	wide	20	0	0	0	0.00%
