file	page	qualifying_gutters	widest_interior_quiet_frac
1954 - Why.pdf	2	0	0.0
1954 - Why.pdf	5	2	0.0515
1954 - Why.pdf	7	1	0.0448
Berle_1940_New directions in the new world,_Harper.pdf	7	0	0.0
Berle_1940_New directions in the new world,_Harper.pdf	15	0	0.0
Berle_1940_New directions in the new world,_Harper.pdf	23	0	0.0324
Boltanski_2006_On justification_Princeton University Press.pdf	50	0	0.0
Boltanski_2006_On justification_Princeton University Press.pdf	101	0	0.0
Boltanski_2006_On justification_Princeton University Press.pdf	152	0	0.0
Casey_1954_1954 pay almanac,.pdf	2	0	0.0
Casey_1954_1954 pay almanac,.pdf	5	0	0.0
Casey_1954_1954 pay almanac,.pdf	7	0	0.0
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	2	0	0.0
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	4	0	0.0
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	6	0	0.0
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	109	0	0.0
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	218	0	0.0
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	327	0	0.0
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	7	0	0.0
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	15	0	0.0
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	22	1	0.0404
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	56	0	0.0
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	113	0	0.0
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	169	0	0.0
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	1	0	0.0113
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	3	0	0.0016
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	4	0	0.0065
Guilford_Psychometric Methods.pdf	1	0	0.0
Guilford_Psychometric Methods.pdf	3	0	0.0
Guilford_Psychometric Methods.pdf	4	0	0.0
Hayek_1978_The constitution of liberty_University of Chicago Press.pdf	143	0	0.0
