file	page	qualifying_gutters	widest_interior_quiet_frac	widthPx	heightPx	widestPx	widestSpan	otsu	peakInk	gutterSpans
1954 - Why.pdf	2	0	0.0000	1275	1650	0	-	153	917	-
1954 - Why.pdf	5	2	0.0527	1650	1275	87	721-808	142	1203	721-808,815-900
1954 - Why.pdf	7	1	0.0424	1650	1275	70	728-798	145	352	728-798
Berle_1940_New directions in the new world,_Harper.pdf	7	0	0.0000	775	1161	0	-	154	511	-
Berle_1940_New directions in the new world,_Harper.pdf	15	0	0.0000	808	1175	0	-	153	366	-
Berle_1940_New directions in the new world,_Harper.pdf	23	0	0.0325	801	1171	26	667-693	156	943	-
Boltanski_2006_On justification_Princeton University Press.pdf	50	2	0.0511	1623	1308	83	847-930	156	1028	770-836,847-930
Boltanski_2006_On justification_Princeton University Press.pdf	101	2	0.0468	1623	1308	76	829-905	152	830	746-805,829-905
Boltanski_2006_On justification_Princeton University Press.pdf	152	2	0.0456	1623	1308	74	839-913	154	441	755-826,839-913
Casey_1954_1954 pay almanac,.pdf	2	0	0.0000	1020	1451	0	-	161	1029	-
Casey_1954_1954 pay almanac,.pdf	5	0	0.0000	1020	1464	0	-	153	1153	-
Casey_1954_1954 pay almanac,.pdf	7	0	0.0000	1020	1543	0	-	156	469	-
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	2	0	0.0000	850	1276	0	-	165	240	-
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	4	0	0.0000	850	1276	0	-	164	393	-
Cohen_1990_Making a New Deal_Cambridge University Press.pdf	6	0	0.0000	850	1276	0	-	166	254	-
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	109	0	0.0000	810	1320	0	-	131	250	-
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	218	0	0.0000	808	1297	0	-	139	351	-
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia.pdf	327	0	0.0000	797	1330	0	-	130	292	-
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	7	0	0.0000	921	1191	0	-	150	1186	-
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	15	0	0.0000	940	1222	0	-	149	460	-
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press.pdf	22	1	0.0383	914	1199	35	722-757	147	1199	722-757
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	56	0	0.0000	788	1200	0	-	160	267	-
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	113	0	0.0000	788	1200	0	-	166	378	-
Friedman_1962_Capitalism and freedom_University of Chicago Press.pdf	169	0	0.0000	788	1200	0	-	163	372	-
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	1	0	0.0113	1240	1754	14	228-242	154	844	-
Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	3	0	0.0016	1240	1754	2	1021-1023	145	473	-
