document	status	page	route	sat	tone	inkOut	layered	1bit	delta	verdict	extent	barVerdict	layeredAtBar	barDelta
# bar=0.045 corpus=/Users/cp1/Claude/vision-ocr/testdocs binary=/Users/cp1/.local/state/visionocr-autonomous/inkbar/score-text-route
book/1954 - Why.pdf	ok	p1	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p2	colour	0.178	0.192	0.1072	74081	5862	-68219	picture	0.00000	picture	74081	same
book/1954 - Why.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p4	grey	0.039	0.144	0.0540	22762	21399	-1363	all-text	0.00000	picture	67976	+45214
book/1954 - Why.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p6	grey	0.043	0.164	0.0493	20708	18973	-1735	all-text	0.00000	picture	62397	+41689
book/1954 - Why.pdf	ok	p7	grey	0.041	0.148	0.0660	22007	20315	-1692	all-text	0.00029	picture	65412	+43405
book/1954 - Why.pdf	ok	p8	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p9	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/1954 - Why.pdf	ok	p10	grey	0.041	0.992	0.9735	31577	105	-31472	picture	0.00000	picture	31577	same
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p3	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p5	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p8	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p10	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
book/Berle_1940_New directions in the new world,_Harper.pdf	ok	p12	bilevel	-	-	-	-	-	-	already 1-bit	-	-	-	-
