# MRC_BLIND=1: the stencil is not confined to Vision's boxes, and R50's
#   all-text shrink is not applied. This is the comparison, not the route.
# background /2 (Photo detail Balanced), foreground /4 (shipped default) — before R50's all-text shrink, which is a floor and can only raise them
file	page	px	dpi	route	boxes	inkOut	nowKB	maskKB	bgKB	fgKB	mrcKB	bgF	fgF	ratio	kept	mrcPSNR	nowPSNR	note
1954 - Why.pdf	4	1224x946	111.3	grey	63	0.0540	269.7	20.6	33.5	12.6	66.8	2.0	4.0	4.04x	mrc	25.49	41.69	blind
1954 - Why.pdf	6	1224x946	111.3	grey	57	0.0493	237.6	18.5	31.0	11.7	61.2	2.0	4.0	3.88x	mrc	26.37	42.37	blind
Guilford_Psychometric Methods.pdf	5	928x1424	144.0	grey	54	0.0000	395.9	24.6	35.3	22.4	82.3	2.0	4.0	4.81x	mrc	21.99	37.93	blind
Ibson_2006_Picturing men.pdf	88	1008x1440	144.0	grey	37	0.8310	235.6	15.5	34.8	12.6	62.9	2.0	4.0	3.74x	mrc	28.05	44.76	blind
Ibson_2006_Picturing men.pdf	132	1008x1440	144.0	grey	45	0.8265	260.8	22.9	40.6	14.7	78.1	2.0	4.0	3.34x	mrc	27.20	40.28	blind
Ibson_2006_Picturing men.pdf	198	1008x1440	144.0	grey	39	0.8668	248.8	21.7	39.5	14.3	75.5	2.0	4.0	3.29x	mrc	27.55	40.78	blind
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	9	2076x2650	390.0	colour	47	0.0282	769.0	46.6	199.4	56.7	302.7	2.0	4.0	2.54x	mrc	29.09	43.21	blind
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	13	1950x2592	400.0	colour	37	0.0000	679.8	38.2	152.4	47.8	238.5	2.0	4.0	2.85x	mrc	29.29	42.88	blind
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	19	1949x2592	390.0	colour	36	0.0000	723.9	37.3	152.6	45.9	235.7	2.0	4.0	3.07x	mrc	29.16	42.30	blind
UN-OCred.pdf	21	1340x1106	150.0	grey	64	0.6929	293.2	20.3	61.4	18.3	100.0	2.0	4.0	2.93x	mrc	28.26	40.04	blind
UN-OCred.pdf	31	1351x1109	150.1	grey	91	0.3484	306.3	18.8	55.2	19.4	93.3	2.0	4.0	3.28x	mrc	27.95	39.49	blind
Broadhead - 1994 - Regionalism and the Upper Class.pdf	5	2278x1834	200.0	grey	78	0.0405	737.9	59.2	170.8	33.1	263.1	2.0	4.0	2.80x	mrc	28.91	40.41	blind
