file	page	px	nowKB	maskKB	bgKB	fgKB	mrcKB	ratio	mrcPSNR	nowPSNR
1954 - Why.pdf	4	1224x946	269	19	35	11	66	4.06x	25.39	41.69	63
1954 - Why.pdf	6	1224x946	237	17	32	10	60	3.90x	26.23	42.37	57
Guilford_Psychometric Methods.pdf	5	928x1424	395	24	35	22	82	4.81x	22.06	37.93	53
Ibson_2006_Picturing men.pdf	88	1008x1440	235	9	36	8	54	4.33x	28.13	44.76	36
Ibson_2006_Picturing men.pdf	132	1008x1440	260	12	42	11	65	3.99x	27.29	40.28	46
Ibson_2006_Picturing men.pdf	198	1008x1440	248	9	41	9	61	4.06x	27.63	40.78	39
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	9	2076x2650	710	44	203	54	302	2.35x	29.28	43.58	46
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	13	1950x2592	631	37	153	46	237	2.65x	29.41	43.22	38
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	19	1949x2592	673	35	154	42	232	2.90x	29.13	42.86	36
UN-OCred.pdf	21	1340x1106	293	16	61	13	91	3.20x	28.78	40.04	67
UN-OCred.pdf	31	1351x1109	306	16	56	15	89	3.42x	27.86	39.49	92
Broadhead - 1994 - Regionalism and the Upper Class.pdf	5	2278x1834	737	45	170	27	242	3.04x	29.29	40.41	78
Broadhead - 1994 - Regionalism and the Upper Class.pdf	7	2278x1834	731	44	171	26	242	3.01x	29.50	40.46	78
Broadhead - 1994 - Regionalism and the Upper Class.pdf	10	2278x1834	732	45	171	26	242	3.01x	29.43	40.46	78
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	21	984x1335	188	9	40	6	57	3.31x	29.48	41.50	24
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	14	1014x1614	201	26	73	24	124	1.62x	24.20	47.45	40
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	21	1014x1614	217	27	75	25	128	1.69x	23.93	46.01	43
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	31	1014x1614	230	29	75	26	130	1.76x	23.24	45.62	42
1881 - Harry Wilcox.pdf	4	4000x2626	1130	36	345	45	427	2.64x	34.53	58.35	68
1881 - Harry Wilcox.pdf	5	3897x2521	1272	41	354	58	455	2.80x	29.99	57.70	35
1881 - Harry Wilcox.pdf	7	3737x2482	1023	26	280	41	348	2.93x	33.61	60.84	30
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	4	3024x3441	1457	27	292	46	365	3.98x	31.26	38.50	42
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	7	3010x3397	1203	27	251	26	305	3.94x	32.94	39.97	84
