# background /1 (MRC_BG), foreground /4 (shipped default) — before R50's all-text shrink, which is a floor and can only raise them
file	page	px	dpi	route	boxes	inkOut	nowKB	maskKB	bgKB	fgKB	mrcKB	bgF	fgF	ratio	kept	mrcPSNR	nowPSNR	note
1954 - Why.pdf	4	1224x946	111.3	grey	63	0.0540	269.7	19.2	190.4	11.8	221.5	1.0	4.0	1.22x	mrc	27.45	41.69	-
1954 - Why.pdf	6	1224x946	111.3	grey	57	0.0493	237.6	17.1	173.0	10.9	201.0	1.0	4.0	1.18x	mrc	28.48	42.37	-
Guilford_Psychometric Methods.pdf	5	928x1424	144.0	grey	54	0.0000	395.9	24.6	184.8	22.3	231.8	1.0	4.0	1.71x	mrc	22.35	37.93	-
Ibson_2006_Picturing men.pdf	88	1008x1440	144.0	grey	37	0.8310	235.6	9.4	180.2	8.9	198.5	1.0	4.0	1.19x	mrc	29.64	44.76	-
Ibson_2006_Picturing men.pdf	132	1008x1440	144.0	grey	45	0.8265	260.8	11.9	195.9	11.0	218.8	1.0	4.0	1.19x	mrc	28.76	40.28	-
Ibson_2006_Picturing men.pdf	198	1008x1440	144.0	grey	39	0.8668	248.8	9.8	190.5	10.0	210.3	1.0	4.0	1.18x	mrc	29.03	40.78	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	9	2076x2650	390.0	colour	47	0.0282	769.0	46.2	769.0	58.1	873.3	1.0	4.0	0.88x	jpeg	30.29	42.57	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	13	1950x2592	400.0	colour	37	0.0000	679.8	37.9	621.8	49.2	708.9	1.0	4.0	0.96x	jpeg	30.27	42.38	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	19	1949x2592	390.0	colour	36	0.0000	723.9	35.8	638.4	45.4	719.6	1.0	4.0	1.01x	mrc	30.37	41.93	-
UN-OCred.pdf	21	1340x1106	150.0	grey	64	0.6929	293.2	16.2	228.7	13.9	258.8	1.0	4.0	1.13x	mrc	31.51	40.04	-
UN-OCred.pdf	31	1351x1109	150.1	grey	91	0.3484	306.3	16.9	216.0	15.6	248.5	1.0	4.0	1.23x	mrc	30.71	39.49	-
Broadhead - 1994 - Regionalism and the Upper Class.pdf	5	2278x1834	200.0	grey	78	0.0405	737.9	45.2	730.3	27.1	802.5	1.0	4.0	0.92x	jpeg	32.28	40.41	-
Broadhead - 1994 - Regionalism and the Upper Class.pdf	7	2278x1834	200.0	grey	79	0.0370	731.4	44.6	730.1	26.5	801.2	1.0	4.0	0.91x	jpeg	32.68	40.46	-
Broadhead - 1994 - Regionalism and the Upper Class.pdf	10	2278x1834	200.0	grey	78	0.0441	732.2	45.1	726.5	26.7	798.3	1.0	4.0	0.92x	jpeg	32.59	40.46	-
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	21	984x1335	150.0	grey	24	0.8271	188.9	9.2	144.0	7.0	160.2	1.0	4.0	1.18x	mrc	31.50	41.50	-
