document	page	candidate	dpi	pixelWidth	pixelHeight	megapixels	route	bytes	characters	words	textSHA	vsSource	truthWords	matched	retained
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	shipped	369.6	3142	4066	12.8	grey	407556	1961	290	dd8497991074	differs	291	274	94.2%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	drawn	70.6	600	776	0.5	grey	51302	1961	289	0c6846b8acbd	differs	291	270	92.8%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	fallback	300.0	2550	3300	8.4	grey	308760	1961	289	d26034a559e8	differs	291	273	93.8%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	extra-200.0	200.0	1700	2200	3.7	grey	175696	1962	290	42da1847c939	differs	291	273	93.8%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	extra-150.0	150.0	1275	1650	2.1	grey	117661	1962	289	ed1fc59d15a8	differs	291	271	93.1%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	extra-96.0	96.0	816	1056	0.9	grey	68374	1960	289	7a2278fb6b26	differs	291	274	94.2%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	extra-50.0	50.0	425	550	0.2	grey	40230	1415	219	3201bafd85bd	differs	291	176	60.5%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	22	extra-30.0	30.0	255	330	0.1	grey	21370	215	45	0648c9cedf0a	differs	291	10	3.4%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	9	shipped	369.6	3142	4066	12.8	bilevel	72161	2641	397	8b68dfe6021f	differs	382	361	94.5%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	9	drawn	147.5	1254	1623	2.0	bilevel	41026	2615	391	86d4d9dd5a1c	differs	382	357	93.5%
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	9	fallback	300.0	2550	3300	8.4	bilevel	63727	2665	399	e02f17381fe8	differs	382	356	93.2%
AI 2027	1	shipped	354.3	2929	4142	12.1	bilevel	20956	186	26	fd2a4c18acae	differs	27	23	85.2%
AI 2027	1	drawn	300.0	2480	3508	8.7	bilevel	19652	174	24	a876a4664617	differs	27	23	85.2%
AI 2027	1	extra-29.6	29.6	245	346	0.1	bilevel	12102	100	15	2ff9a0c14b0d	differs	27	9	33.3%
