document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor
# C27 population sweep 2026-08-19: PAGES=2 SATFLOOR=0.25, corpus=/Users/cp1/Claude/vision-ocr/testdocs (233 documents, 441 pages), Tools/score-threshold-loss.swift at a728a07 built -O, one invocation per document, 729 s of measured time, every document rc=0
1954 - Why	p4	139	0.102	0.144	0.039	0.0017	0.00000	0.00000	887616	1	picture	1475	30591	8	187	187	14	189	0.01360	0.25000
1954 - Why	p7	139	0.104	0.148	0.041	0.0032	0.00029	0.00021	887616	1	picture	2855	28324	257	188	257	392	392	0.02831	0.25000
Berle_1940_New directions in the new world,_Harper	p11	90	0.090	0.000	0.000	0.0000	0.00000	0.00000	702464	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Berle_1940_New directions in the new world,_Harper	p21	90	0.089	0.000	0.000	0.0000	0.00000	0.00000	709632	2	1-bit	0	0	0	23	23	0	23	0.00000	0.25000
Boltanski_2006_On justification_Princeton University Press	p68	143	0.279	0.022	0.000	0.0078	0.00000	0.00000	1832844	2	1-bit	15949	54440	1093	1137	1137	1098	1137	0.00000	0.25000
Boltanski_2006_On justification_Princeton University Press	p136	141	0.256	0.013	0.000	0.0072	0.00017	0.00022	3263067	3	1-bit	39019	49975	1450	1517	1517	1470	1517	0.00000	0.25000
Casey_1954_1954 pay almanac,	p4	154	0.092	0.037	0.000	0.0166	0.00000	0.00000	1126440	1	1-bit	13	45222	2	1260	1260	325	1260	0.00000	0.25000
Casey_1954_1954 pay almanac,	p7	156	0.080	0.035	0.000	0.0219	0.00000	0.00000	1207794	1	1-bit	32	47983	3	20	20	16	22	0.00000	0.25000
Cohen_1990_Making a New Deal_Cambridge University Press	p3	129	0.088	0.000	0.001	0.0000	0.00000	0.00000	831048	4	1-bit	0	9467	0	21	21	20	22	0.00061	0.25000
Cohen_1990_Making a New Deal_Cambridge University Press	p6	129	0.087	0.000	0.001	0.0000	0.00000	0.00000	831048	4	1-bit	0	9394	0	21	21	20	21	0.00061	0.25000
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia	p146	136	0.086	0.042	0.009	0.0045	0.00000	0.00000	1148022	2	1-bit	0	7	0	22	22	2	22	0.00000	0.25000
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia	p291	127	0.092	0.012	0.013	0.0057	0.00000	0.00000	1168452	2	1-bit	0	0	0	25	25	0	25	0.00000	0.25000
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press	p11	90	0.112	0.000	0.000	0.0000	0.00000	0.00000	863156	2	1-bit	0	3117	0	36	36	7	36	0.00000	0.25000
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press	p21	128	0.113	0.002	0.000	0.0000	0.00000	0.00000	859712	2	1-bit	0	8286	0	25	25	8	25	0.00000	0.25000
Friedman_1962_Capitalism and freedom_University of Chicago Press	p76	90	0.096	0.001	0.000	0.0000	0.00000	0.00000	1288000	1	1-bit	0	35432	0	29	29	25	30	0.00000	0.25000
Friedman_1962_Capitalism and freedom_University of Chicago Press	p151	90	0.103	0.001	0.000	0.0000	0.00000	0.00000	1288000	1	1-bit	1	37592	0	25	25	25	26	0.00000	0.25000
Gowan and Demos - 1964 - The education and guidance of the ablest	p3	145	0.063	0.019	0.000	0.0285	0.00000	0.00000	1129122	1	1-bit	83	32242	8	48	48	18	61	0.00000	0.25000
Gowan and Demos - 1964 - The education and guidance of the ablest	p5	144	0.025	0.007	0.000	0.0075	0.00000	0.00000	1129122	1	1-bit	14	10129	0	27	27	21	29	0.00000	0.25000
Guilford_Psychometric Methods	p3	157	0.114	0.039	0.000	0.0230	0.00000	0.00000	1007776	1	1-bit	14	48959	2	22	22	17	24	0.00000	0.25000
Guilford_Psychometric Methods	p5	151	0.151	0.046	0.000	0.0293	0.00000	0.00000	1011752	1	picture	5	61762	0	22	22	18	24	0.00000	0.25000
Hayek_1978_The constitution of liberty_University of Chicago Press	p192	90	0.140	0.000	0.000	0.0000	0.00000	0.00000	1323582	3	1-bit	0	0	0	32	32	0	32	0.00000	0.25000
Hayek_1978_The constitution of liberty_University of Chicago Press	p383	90	0.130	0.000	0.000	0.0000	0.00000	0.00000	1302045	3	1-bit	0	0	0	31	31	0	31	0.00000	0.25000
Himanen_2001_The hacker ethic and the spirit of the information age_Random House	p86	169	0.065	0.051	0.000	0.1030	0.00000	0.00000	2636928	1	1-bit	45586	117660	38	43	43	45	53	0.00000	0.25000
Himanen_2001_The hacker ethic and the spirit of the information age_Random House	p171	166	0.066	0.048	0.000	0.1032	0.00000	0.00000	2636928	1	1-bit	44595	118019	34	39	39	44	52	0.00000	0.25000
Ibson_2006_Picturing men	p88	172	0.201	0.101	0.000	0.0330	0.00000	0.00000	1111320	1	picture	78686	42669	312	581	581	345	582	0.00000	0.25000
Ibson_2006_Picturing men	p176	165	0.339	0.136	0.000	0.0144	0.00015	0.00009	1111320	1	picture	51150	61801	238	616	616	448	617	0.00000	0.25000
JAH Review	p2	128	0.098	0.000	0.001	0.0000	0.00000	0.00000	863784	4	1-bit	0	9305	0	20	20	15	21	0.00059	0.25000
JAH Review	p3	128	0.089	0.000	0.001	0.0000	0.00000	0.00000	863784	4	1-bit	0	8493	0	20	20	15	20	0.00059	0.25000
Keyssar_2000_The Right to Vote_Basic Books	p2	127	0.090	0.000	0.001	0.0000	0.00000	0.00000	1297628	4	1-bit	0	0	0	20	20	0	20	0.00105	0.25000
Keyssar_2000_The Right to Vote_Basic Books	p3	127	0.092	0.000	0.001	0.0000	0.00000	0.00000	1297628	4	1-bit	0	0	0	19	19	0	19	0.00105	0.25000
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press	p28	90	0.105	0.000	0.000	0.0000	0.00000	0.00000	1861650	2	1-bit	0	0	0	1182	1182	0	1182	0.00000	0.25000
LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press	p55	90	0.099	0.000	0.000	0.0000	0.00000	0.00000	1861650	2	1-bit	0	0	0	1182	1182	0	1182	0.00000	0.25000
Mintzberg - 1973 - The nature of managerial work	p40	90	0.067	0.000	0.000	0.0000	0.00000	0.00000	1826271	2	1-bit	0	0	0	1179	1179	0	1179	0.00000	0.25000
Mintzberg - 1973 - The nature of managerial work	p80	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	1791396	2	1-bit	0	116	0	1164	1164	21	1164	0.00000	0.25000
