document	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	verdict	sweepInkOut	label	kind	sample
# C28 question 3, out of sample: the shape term over ALL 73 sub-bar pages, 2026-08-21.
# population = INKBAR-2026-08-19.tsv rows with verdict=all-text AND barVerdict=all-text (73).
# label/kind are the published verdicts of C26 sub-step 4 and C28 sub-steps 1-4; nothing here re-reads them.
# sample: calibration = one of the 8 pages the five constants were written against; new = never measured before.
# binary built from Tools/score-shape-term.swift at 5be15c3; --self-test 5/5; constants unchanged.
book/Guilford_Psychometric Methods.pdf	p1	920	1428	150	193959	601	0.0031	0.0031	0.0031	0.0000	2732	12	4	59	0	0	0.0000	0	0	0.0000	-	ok	0.0031	nothing	-	new
book/Guilford_Psychometric Methods.pdf	p5	928	1424	151	197517	0	0.0000	0.0000	0.0000	0.0000	2954	12	4	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p6	1955	2597	106	464636	0	0.0000	0.0000	0.0018	0.0000	2024	25	5	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p10	1953	2592	101	300190	2	0.0000	0.0000	0.0001	0.0000	1537	24	5	2	0	0	0.0000	0	0	0.0000	-	ok	0.0000	nothing	-	new
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p12	1980	2592	92	264446	9	0.0000	0.0000	0.0000	0.0000	908	29	6	5	0	0	0.0000	0	0	0.0000	-	ok	0.0000	nothing	-	new
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p14	2216	2749	102	638801	0	0.0000	0.0000	0.0026	0.0000	1926	29	7	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p20	2168	2716	105	598586	1294	0.0022	0.0022	0.0152	0.0021	2036	27	6	8	1	163	0.1260	0	0	0.0000	-	ok	0.0022	degraded	hand-mark-degraded	new
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p24	2100	2671	108	560837	824	0.0015	0.0015	0.0259	0.0014	2487	23	6	81	2	184	0.2233	0	0	0.0000	-	ok	0.0015	nothing	-	new
book/UN-OCred.pdf	p7	1361	1109	186	181830	4205	0.0231	0.0231	0.0416	0.0196	3184	10	3	14	4	186	0.0442	0	0	0.0000	-	ok	0.0231	nothing	-	new
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p2	2278	1834	163	334692	4670	0.0140	0.0140	0.0410	0.0140	4447	13	3	125	5	1164	0.2493	0	0	0.0000	-	ok	0.0140	nothing	-	new
