# C28 question 4: the per-page byte price of refusing the 1/8 background shrink, over the 41 of the
# 73 sub-bar pages whose inkOut is at or above 0.0008 — the cheapest page-wide bar that rescues the
# same 13 losers the shape term does. 2026-08-21.
# corpus=/Users/cp1/Claude/vision-ocr/testdocs; binary built from Tools/score-text-route.swift at
# ab55cd7; INKBAR=0.00001 (below every selected page's own inkOut, so the shrink is really refused);
# Photo detail Balanced (the default); one invocation per document, rc=0 on 19 of 19.
# document/page/inkOut/lineN/label/kind are the SHAPETERM-73-2026-08-21.tsv row this came from, and
# inkOut was asserted equal to that file's printed value on all 41 rows before writing.
# barVerdict is picture on 41 of 41 (the shrink was refused) and stencilSame yes on 41 of 41 (the
# stencil is byte-identical at both bars, so the backgrounds are the whole difference).
# CONTROLS. The layered column equals INKBAR-2026-08-19.tsv's layered on 41 of 41 rows (a
# different binary, a different bar, two days earlier) — that is the independent one. The two
# totals below reproduce BUGS.md C28 #### The same shape term over ALL 73 digit for digit, but
# from source byte-identical to that run's, so they are a determinism re-run and not a control
# across a code change:
#   lineN >= 1 (16 rows):  789,825 -> 3,152,450 B, +2,362,625 B, 3.99x, 15.5% of it on non-losers
#   all 41 rows:         1,915,380 -> 8,117,445 B, +6,202,065 B, 4.24x, 58.5% of it on non-losers
document	page	inkOut	lineN	label	kind	layered	layeredAtBar	delta	barVerdict	stencilSame
book/Guilford_Psychometric Methods.pdf	p1	0.0031	0	nothing	-	29174	85874	56700	picture	yes
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p20	0.0022	0	degraded	hand-mark-degraded	66684	345617	278933	picture	yes
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p24	0.0015	0	nothing	-	70002	343987	273985	picture	yes
book/UN-OCred.pdf	p7	0.0231	0	nothing	-	29238	93056	63818	picture	yes
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p2	0.0140	0	nothing	-	58099	248210	190111	picture	yes
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p3	0.0450	2	loses	type	56226	244731	188505	picture	yes
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p4	0.0193	0	nothing	-	58877	248350	189473	picture	yes
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p5	0.0405	0	nothing	-	59251	248756	189505	picture	yes
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p7	0.0370	0	nothing	-	58442	248574	190132	picture	yes
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p10	0.0441	0	nothing	-	59041	248701	189660	picture	yes
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p12	0.0410	0	nothing	-	63955	254194	190239	picture	yes
