document	arm	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	verdict
report/Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ.pdf	A	p6	2362	3122	230	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SKIP no words — mrcLayers refuses this page too
book/1954 - Why.pdf	B	p4	1224	946	139	110844	5983	0.0540	0.0540	0.0757	0.0540	2468	9	2	42	12	444	0.0742	1	59	0.0099	27x17+1121+685	ok
book/1954 - Why.pdf	B	p6	1224	946	140	98348	4851	0.0493	0.0493	0.0768	0.0493	2013	9	2	20	4	357	0.0736	0	0	0.0000	-	ok
book/1954 - Why.pdf	B	p7	1224	946	139	107273	7080	0.0660	0.0660	0.0908	0.0654	2255	9	2	40	12	761	0.1075	0	0	0.0000	-	ok
book/1954 - Why.pdf	A	p10	1224	1584	216	1390158	1353270	0.9735	0.9735	0.9946	0.9888	7	72	14	1	0	0	0.0000	0	0	0.0000	-	ok
document/1881 - Harry Wilcox.pdf	A	p2	3642	2449	121	272237	251186	0.9227	0.9227	0.9227	0.9203	288	5	3	1594	549	10078	0.0401	17	1694	0.0067	60x41+2771+1015	ok
document/1881 - Harry Wilcox.pdf	A	p6	3807	2441	127	373358	364895	0.9773	0.9773	0.9773	0.9765	70	7	3	2082	582	10181	0.0279	11	1594	0.0044	78x33+1400+734	ok
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	A	p2	3872	5184	107	2529134	2389079	0.9446	0.9446	0.9562	0.9448	85	48	12	8789	59	21939	0.0092	2	10438	0.0044	444x154+366+3459	ok
book/Ibson_2006_Picturing men.pdf	A	p61	2100	3000	162	2369312	2254516	0.9515	0.9515	0.9686	0.9631	393	18	4	1521	22	1411	0.0006	1	477	0.0002	74x29+1396+771	ok
book/Ibson_2006_Picturing men.pdf	A	p122	1008	1440	172	361769	359906	0.9949	0.9949	0.9951	0.9947	68	9	2	4170	203	3836	0.0107	12	2032	0.0056	202x48+84+873	ok
book/Ibson_2006_Picturing men.pdf	A	p162	1008	1440	160	603931	602580	0.9978	0.9978	0.9978	0.9978	54	9	2	707	17	321	0.0005	0	0	0.0000	-	ok
