kind	doc	page	words	squashed	srcBytes	outBytes	images	jbig2Images
sideways	Burke - The Expansion of American Higher Education.ocr.pdf	13	28	8				
sideways	Burke - The Expansion of American Higher Education.ocr.pdf	14	35	11				
sideways	Burke - The Expansion of American Higher Education.ocr.pdf	16	32	16				
sideways	Hoxby_1997_How the Changing Market Structure of U_National Bureau of Economic Research.ocr.pdf	80	34	4				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	71	101	47				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	72	110	44				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	73	104	38				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	74	60	11				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	86	109	29				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	87	108	27				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	89	151	36				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	90	141	61				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	91	157	69				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	92	193	66				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	93	95	27				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	122	102	13				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	125	295	245				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	126	178	112				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	127	191	171				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	128	180	113				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	129	192	172				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	168	74	39				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	169	49	32				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	170	50	8				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	171	89	20				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	172	187	41				
sideways	Koh - 2008 - Essays on stock options expensing and stock option.ocr.pdf	173	122	29				
