document	page	arm	inkOut	outPx	lineN	linePx	label	kind	r1class	r1pct	r2verdict	r2kind	r2pct	adjudicated	note
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p31	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Dense typeset journal text (Krippner article), no graphics
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p34	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Typeset text page, footnotes list, no graphics
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p13	subbar	0.0014	150	0	0	degraded	rule-blurred	none	0	none	-	0	none	Typeset journal text (Qu et al.), no graphics
document/_1939_Former students to Board re Merriam_.pdf	p9	subbar	0.0013	381	1	303	nothing	-	none	0	none	-	0	none	Typewritten letter; faint mirrored show-through from the reverse
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p19	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Typeset journal text (Krippner article), no graphics
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p1	subbar	0.0012	97	0	0	nothing	-	none	0	none	-	0	none	Typewritten page with one handwritten interlineation
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p14	subbar	0.0000	0	0	0	nothing	-	none	0	none	-	0	none	Typeset book text page, no graphics
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p28	subbar	0.0016	163	0	0	nothing	-	none	0	none	-	0	none	Typeset reference/bibliography list, no graphics
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p10	subbar	0.0016	151	0	0	degraded	rule-blurred	none	0	none	-	0	none	Typeset journal text with a footnote, no graphics
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p4	subbar	0.0193	6683	0	0	nothing	-	none	0	mark	handdrawn	1	annot	hand-drawn red X in the margin beside a highlighted paragraph
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	p2	subbar	0.0140	4670	0	0	nothing	-	none	0	mark	handdrawn	1	annot	small ink checkmark beside an underlined phrase
magazineArticle/_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf	p1	subbar	0.0286	5863	2	319	nothing	-	drawing	2	mark	device	2	device	script "Backstage" masthead with a stippled ornament band beneath
book/UN-OCred.pdf	p7	subbar	0.0231	4205	0	0	nothing	-	none	0	none	-	0	none	Two-column mimeographed foreword, show-through and smudges
magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	p3	subbar	0.0087	1624	6	1574	loses	type	none	0	none	-	0	none	Three-column magazine interview text with headline
