document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route
(F) Dickens	p3	90	0.091	0.000	0.000	0.0000	0.00000	0.00000	2849520	1	1-bit
(F) Dickens	p6	90	0.100	0.000	0.000	0.0000	0.00000	0.00000	2849092	1	1-bit
1881 - Harry Wilcox	p4	125	0.145	0.140	0.062	0.1982	0.00796	0.00915	2010750	2	picture
1881 - Harry Wilcox	p7	126	0.133	0.103	0.068	0.0841	0.48119	0.03969	1775610	2	picture
1935_Title Page	p2	128	0.006	0.000	0.000	0.0000	0.00000	0.00000	1622880	2	1-bit
1935_Title Page	p3	186	0.000	0.000	0.000	0.0000	0.00000	0.00000	1622880	2	1-bit
1944_Options picking up	p2	151	0.254	0.307	0.007	0.0415	0.00156	0.00043	1522638	1	picture
1944_Options picking up	p3	90	0.006	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
1947_Corporation Tax Study Due By House Body	p2	187	0.148	0.144	0.006	0.0242	0.00000	0.00000	1678600	1	picture
1947_Corporation Tax Study Due By House Body	p3	144	0.025	0.010	0.000	0.0596	0.00000	0.00000	1668096	1	1-bit
1954 - Why	p4	139	0.102	0.144	0.039	0.0017	0.00000	0.00000	887616	1	picture
1954 - Why	p7	139	0.104	0.148	0.041	0.0032	0.00029	0.00021	887616	1	picture
1957_Allied Chemical & Dye Corporation Annual Report -- 1957	p12	90	0.233	0.000	0.000	0.0000	0.00000	0.00000	1504496	2	1-bit
1957_Allied Chemical & Dye Corporation Annual Report -- 1957	p24	128	0.035	0.003	0.000	0.0001	0.00000	0.00000	1165100	2	1-bit
1958_CiT Financial Corporation Annual Report -- 1958	p14	128	0.086	0.009	0.000	0.0000	0.00000	0.00000	1274280	2	picture
1958_CiT Financial Corporation Annual Report -- 1958	p28	90	0.070	0.000	0.000	0.0000	0.00000	0.00000	692831	2	1-bit
1958_E	p17	128	0.120	0.005	0.000	0.0000	0.00000	0.00000	482202	2	1-bit
1958_E	p34	90	0.075	0.000	0.000	0.0000	0.00000	0.00000	615244	2	1-bit
1958_General Foods Corporation Annual Report -- 1958	p10	90	0.106	0.001	0.000	0.0000	0.00000	0.00000	995596	2	1-bit
1958_General Foods Corporation Annual Report -- 1958	p19	128	0.063	0.000	0.000	0.0000	0.00000	0.00000	948934	2	1-bit
1958_The Anaconda Company Annual Report -- 1958	p12	90	0.057	0.000	0.000	0.0000	0.00000	0.00000	943460	2	1-bit
1958_The Anaconda Company Annual Report -- 1958	p23	128	0.071	0.005	0.000	0.0000	0.00000	0.00000	955840	2	1-bit
1958_The Goodyear Tire & Rubber Company Annual Report -- 1958	p15	90	0.099	0.000	0.000	0.0000	0.00000	0.00000	1293980	2	1-bit
1958_The Goodyear Tire & Rubber Company Annual Report -- 1958	p29	90	0.269	0.000	0.000	0.0000	0.00000	0.00000	1350048	2	1-bit
1976 - Regis McKenna Papers - Early Career, 1965-1981	p4	129	0.144	0.063	0.063	0.1958	0.04492	0.02053	1991115	2	picture
1976 - Regis McKenna Papers - Early Career, 1965-1981	p7	131	0.181	0.234	0.105	0.1488	0.02922	0.01401	1957062	2	picture
1976_Results of Trading in Stock Options	p1	131	0.140	0.006	0.000	0.0000	0.00000	0.00000	1584198	2	1-bit
2008_Hoagland oral history	p11	90	0.067	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
2008_Hoagland oral history	p6	90	0.053	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
2008_McIntyre oral history	p13	90	0.063	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
2008_McIntyre oral history	p7	90	0.050	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
2013 - Silicon Valley Program Transcript	p13	166	0.090	0.018	0.050	0.0033	0.00000	0.00000	3256058	1	1-bit
2013 - Silicon Valley Program Transcript	p26	166	0.097	0.020	0.050	0.0033	0.00000	0.00000	3256058	1	1-bit
2015_Gibbs oral history	p24	90	0.022	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
2015_Gibbs oral history	p48	90	0.022	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
2017_Bunnell oral history, athletics	p24	90	0.020	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
2017_Bunnell oral history, athletics	p47	90	0.019	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
2024 - Class Action lawsuit re need blind admissions	p26	156	0.042	0.017	0.003	0.0001	0.00000	0.00000	1612948	1	1-bit
2024 - Class Action lawsuit re need blind admissions	p51	155	0.048	0.019	0.003	0.0000	0.00000	0.00000	1612948	1	1-bit
AI 2027	p24	149	0.079	0.021	0.013	0.0000	0.00000	0.00000	1803480	1	1-bit
AI 2027	p48	137	0.047	0.008	0.001	0.0000	0.00000	0.00000	1665475	2	1-bit
Albanese_1997_Senate Will Examine Stock Option Bill	p2	162	0.128	0.077	0.063	0.0800	0.00046	0.00025	714546	2	picture
Albanese_1997_Senate Will Examine Stock Option Bill	p3	149	0.013	0.005	0.000	0.0009	0.00000	0.00000	659736	1	1-bit
Allen_2011_The Origins of Political Philosophy_Oxford University Press	p10	135	0.121	0.012	0.000	0.0002	0.00000	0.00000	949048	2	1-bit
Allen_2011_The Origins of Political Philosophy_Oxford University Press	p20	135	0.114	0.011	0.000	0.0000	0.00000	0.00000	949048	2	1-bit
Anderson_1997_Legacy of the American Frontier_California State University, Fresno	p107	90	0.178	0.000	0.000	0.0000	0.00000	0.00000	1702134	2	1-bit
Anderson_1997_Legacy of the American Frontier_California State University, Fresno	p54	90	0.007	0.000	0.000	0.0000	0.00000	0.00000	1680380	2	1-bit
Astin__The Challenge of Open Admissions by Alexander W_UNZ.org	p2	135	0.094	0.010	0.001	0.0000	0.00000	0.00000	1639456	2	1-bit
Astin__The Challenge of Open Admissions by Alexander W_UNZ.org	p3	128	0.188	0.017	0.001	0.0001	0.00000	0.00000	1639456	2	1-bit
Atkinson_1939_Atkinson on firings_	p2	118	0.096	0.160	0.061	0.1098	0.00944	0.00776	3844260	1	picture
Atkinson_1939_Atkinson on firings_	p3	130	0.102	0.157	0.045	0.0808	0.00053	0.00218	3844260	1	picture
Autor et al_2020_Extending the Race between Education and Technology	p14	90	0.006	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Autor et al_2020_Extending the Race between Education and Technology	p7	90	0.065	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning	p45	90	0.079	0.000	0.000	0.0000	0.00000	0.00000	1620640	2	1-bit
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning	p89	90	0.067	0.000	0.000	0.0000	0.00000	0.00000	1644150	2	1-bit
Baker_2000_The Supply-Side Effect of a Stock Market Crash	p5	129	0.089	0.000	0.000	0.0000	0.00000	0.00000	1333469	4	1-bit
Baker_2000_The Supply-Side Effect of a Stock Market Crash	p9	129	0.083	0.000	0.000	0.0000	0.00000	0.00000	1333469	4	1-bit
Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm	p135	90	0.054	0.000	0.000	0.0000	0.00000	0.00000	1691238	2	1-bit
Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm	p269	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1685600	2	1-bit
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	p19	136	0.064	0.012	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California	p37	136	0.056	0.010	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Berendzen_1981_The Soaring Lesson of America in Space_Newsday (1940-1990), Nassau ed.; Long Island, N.Y.	p1	136	0.244	0.044	0.000	0.0113	0.00000	0.00000	1923012	1	picture
Berger_2013_Toward a Third Industrial Divide_	p17	128	0.055	0.004	0.000	0.0000	0.00000	0.00000	1121456	2	1-bit
Berger_2013_Toward a Third Industrial Divide_	p9	128	0.084	0.004	0.000	0.0000	0.00000	0.00000	1103792	2	1-bit
Berle_1940_New directions in the new world,_Harper	p11	90	0.090	0.000	0.000	0.0000	0.00000	0.00000	702464	2	1-bit
Berle_1940_New directions in the new world,_Harper	p21	90	0.089	0.000	0.000	0.0000	0.00000	0.00000	709632	2	1-bit
Black_0000_The Scandal of Educational Testing	p2	156	0.231	0.113	0.000	0.0076	0.00000	0.00000	1089786	1	picture
Black_0000_The Scandal of Educational Testing	p3	159	0.174	0.105	0.039	0.0073	0.00000	0.00000	1087104	1	picture
Boltanski_2006_On justification_Princeton University Press	p136	141	0.256	0.013	0.000	0.0072	0.00017	0.00022	3263067	3	1-bit
