# C28 question 4 at the `textRegionMask` seam: what it costs, in published bytes, to let the
# shape term's accepted line groups into the 1-bit stencil. 2026-08-22.
#
# 26 pages in two arms. `arm=subbar`: the 16 of the 73 sub-bar pages where `lineN >= 1` — the
# exact population the layering-seam wiring (`inkOut < 0.045 AND lineN == 0`) refuses, so the two
# prices are over the same pages. `arm=picture`: the ten picture pages of
# SHAPETERM-PICTURES-2026-08-21.tsv, where the term's false positives are.
#
# Instrument: `WIDENBYTES=1 score-shape-term <pdf> <page>`, one page per invocation, from one
# binary built at this commit. Two `Flattener.mrcLayers` calls per page differing in ONE property,
# the box list: shipped, and shipped + one synthetic box per accepted line group. Nothing in
# Sources/ was changed for it — `mrcLayers` reads `boxes` only to refuse an empty list and to
# build `textRegionMask`, so a synthetic box is exactly the word Vision would have returned.
# Bytes are stencil (jbig2) + background + foreground at the default Photo detail (Balanced).
#
# Control: `shipBytes` is byte-identical to SHAPETERM-BYTES-2026-08-21.tsv's `layered` column on
# 16 of 16 rows — a different tool (`score-text-route`) measuring the same thing.
# 31 of the 44 columns are score-shape-term's pre-existing ones: 806 shared cells over 26 of 26 rows
# reproduce SHAPETERM-73, -PICTURES, -RIM and -PICTURES-RIM with 0 differences (22 columns against the
# first two, the 9 rim columns against the last two, which are the only files that hold them). Only
# SHAPETERM-PICTURES-RIM is a column *prefix* of this file — the 73 and RIM files carry a different
# second column and four trailing label columns.
document	arm	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	rim1N	rim1Px	rim1Top	rim2N	rim2Px	rim2Top	rim3N	rim3Px	rim3Top	verdict	wideN	wideInkOut	stenPx	wideStenPx	shipSten	wideSten	shipBytes	wideBytes	byteDelta	shipBg	wideBg
bookSection/Broadhead - 1994 - Regionalism and the Upper Class.pdf	subbar	p3	2278	1834	165	340166	15299	0.0450	0.0450	0.0809	0.0443	4261	13	3	230	119	8531	0.5576	2	7533	0.4924	779x50+1260+211	2	7533	779x50+1260+211	2	7533	779x50+1260+211	2	7532	779x49+1260+212	ok	2	0.0208	319748	328693	43329	44538	56226	57225	+999	284x229	284x229
document/Atkinson_1939_Atkinson on firings_.pdf	subbar	p3	1935	2592	130	504651	19587	0.0388	0.0388	0.1231	0.0383	2582	20	4	50	27	8694	0.4439	3	8201	0.4187	337x54+1136+2083	3	8189	336x54+1137+2083	3	8175	336x54+1137+2083	3	8158	335x54+1138+2083	ok	3	0.0223	453198	460090	48362	49021	63806	64268	+462	241x324	241x324
document/Ford_1941_Speech_.pdf	subbar	p6	1935	2592	122	168071	945	0.0056	0.0056	0.0844	0.0061	1079	18	4	15	7	836	0.8847	1	446	0.4720	134x43+1681+199	1	446	134x43+1681+199	1	446	134x43+1681+199	1	446	134x43+1681+199	ok	1	0.0028	154394	154665	19283	19431	31137	31274	+137	241x324	241x324
document/Herbert Marks papers.pdf	subbar	p11	1700	2200	213	88758	1314	0.0148	0.0148	0.4765	0.0393	2125	5	2	38	19	732	0.5571	1	423	0.3219	134x14+627+479	1	377	134x12+627+480	2	311	52x10+627+481	1	114	43x8+627+482	ok	1	0.0096	46986	47204	14199	14265	19439	19492	+53	212x275	212x275
document/Herbert Marks papers.pdf	subbar	p12	1700	2200	213	106972	437	0.0041	0.0041	0.4701	0.0339	2752	5	2	21	13	422	0.9657	2	386	0.8833	72x10+606+911	1	145	72x8+606+912	1	94	65x6+606+913	1	64	65x4+606+914	ok	2	0.0004	57308	57528	17634	17676	23452	23484	+32	212x275	212x275
document/_1939_Former students to Board re Merriam_.pdf	subbar	p6	1935	2592	118	375072	2602	0.0069	0.0069	0.2266	0.0068	1578	21	4	32	8	2302	0.8847	1	2259	0.8682	472x53+951+2216	1	2216	472x52+951+2216	1	2174	472x51+951+2216	1	2121	472x50+951+2216	ok	1	0.0006	297328	299449	34175	34603	52626	52955	+329	241x324	241x324
document/_1939_Former students to Board re Merriam_.pdf	subbar	p9	1935	2592	126	292516	381	0.0013	0.0013	0.4121	0.0037	3176	10	3	52	7	316	0.8294	1	303	0.7953	140x12+1456+1165	0	0	-	0	0	-	0	0	-	ok	1	0.0003	175761	175954	35441	35470	50498	50517	+19	241x324	241x324
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	subbar	p2	1240	1647	160	185073	155	0.0008	0.0008	0.0008	0.0006	5166	10	2	7	5	147	0.9484	1	147	0.9484	43x9+639+829	1	133	42x8+640+830	1	119	42x7+640+831	1	100	42x6+640+832	ok	1	0.0000	222363	222543	32360	32377	38067	38065	-2	155x205	155x205
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	subbar	p5	1240	1647	162	166685	5892	0.0353	0.0353	0.0353	0.0321	4757	10	2	142	117	3954	0.6711	4	3898	0.6616	488x18+107+1188	4	3695	488x17+107+1189	4	3508	488x16+107+1190	3	3274	488x15+107+1191	ok	4	0.0116	189884	194323	30091	30625	36047	36250	+203	155x205	155x205
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	subbar	p7	1240	1647	162	162460	2225	0.0137	0.0137	0.0137	0.0134	4919	10	2	135	91	1995	0.8966	3	1897	0.8526	401x20+155+759	3	1852	401x20+155+759	3	1790	401x20+155+759	2	1669	401x20+155+759	ok	3	0.0010	191475	193890	30802	31355	36556	36925	+369	155x205	155x205
