type	era	file	zotero_key	result	pages	line_starts	line_ends	offset	overlap	words	seconds
book	mid	book/Gowan and Demos - 1964 - The education and guidance of the ablest.pdf	PPR4TAUH	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/50	words=100%	2s
book	mid	book/Mintzberg - 1973 - The nature of managerial work.pdf	CHNYABXG	OK	3p	start=100%	end=100%	off=-0.10	overlap=14/80	words=100%	3s
book	mid	book/Morgan_1975_American Slavery, American Freedom_Norton.pdf	6RNTFJJG	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/72	words=100%	5s
book	new	book/LaVaque-Manty_2009_The Playing Fields of Eton_University of Michigan Press.pdf	ID9VBZTV	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/24	words=100%	3s
book	new	book/Westad_2005_The Global Cold War_Cambridge University Press.pdf	F7MIAN7V	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/43	words=100%	4s
book	new	book/_2010_New Materialisms_Duke University Press.pdf	VU5CTF2C	OK	3p	start=100%	end=100%	off=-0.10	overlap=1/2	words=100%	4s
book	old	book/Casey_1954_1954 pay almanac,.pdf	PGYUSQFG	OK	3p	start=100%	end=98%	off=-0.10	overlap=0/130	words=99%	3s
book	old	book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	MFQM28CR	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/71	words=100%	3s
book	old	book/Schumpeter_1955_Imperialism ; Social classes_World.pdf	ZPQRHR3N	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/82	words=100%	3s
book	unk	book/Guilford_Psychometric Methods.pdf	DMJ8JGPP	OK	3p	start=100%	end=98%	off=-0.10	overlap=0/140	words=100%	3s
bookSection	mid	bookSection/Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	GC8SBK7S	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/115	words=100%	3s
bookSection	mid	bookSection/National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	42YAYKMS	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/93	words=100%	3s
bookSection	mid	bookSection/Schaar, handwritten notes.pdf	FLNWUTPG	OK	3p	start=100%	end=100%	off=-0.10	overlap=1/24	words=99%	4s
bookSection	new	bookSection/Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf	NHH6CIA8	OK	3p	start=100%	end=98%	off=-0.10	overlap=0/89	words=100%	3s
bookSection	new	bookSection/Berger_2013_Toward a Third Industrial Divide_.pdf	FQC4BJIC	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/106	words=100%	3s
bookSection	new	bookSection/Falasca-Zamponi_2004_The »Culture« of Personality.pdf	EMQV5VUK	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/88	words=100%	3s
bookSection	old	bookSection/Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	NT6IVBA2	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/77	words=100%	2s
bookSection	old	bookSection/Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	WNS6M728	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/78	words=99%	3s
bookSection	old	bookSection/full chapter.pdf	9SES9H42	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/13	words=100%	1s
bookSection	unk	bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	CSXKHDZ5	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/91	words=100%	2s
document	mid	document/Galison_1998_Trading Zone_.pdf	CDQNWPYZ	OK	3p	start=100%	end=99%	off=-0.10	overlap=4/83	words=100%	6s
document	mid	document/Riesman_1964_The New Education_.pdf	7ZCID6C5	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/67	words=100%	2s
document	mid	document/_1960_Organization and operation of the Small Business Administration_.pdf	DJ35B8WP	OK	3p	start=100%	end=99%	off=-0.10	overlap=2/102	words=100%	3s
document	new	document/2008_McIntyre oral history.pdf	KWLNTVQ4	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/103	words=100%	3s
document	new	document/2013 - Silicon Valley Program Transcript.pdf	AYK93MUN	OK	3p	start=100%	end=98%	off=+0.00	overlap=0/73	words=99%	2s
document	new	document/Lyons oral history.pdf	HG4GMFH4	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/44	words=100%	3s
document	old	document/Atkinson_1939_Atkinson on firings_.pdf	VA66SSKM	OK	3p	start=100%	end=100%	off=-0.10	overlap=18/120	words=100%	4s
document	old	document/RIESMAN_1942_American Law Institute Proceedings_.pdf	SQFT3B9F	OK	3p	start=100%	end=98%	off=-0.10	overlap=0/77	words=100%	6s
document	old	document/_1953_99 Cong_.pdf	6LXC8GLV	OK	3p	start=100%	end=98%	off=-0.10	overlap=2/64	words=99%	8s
